district,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total,P_Tot_Total_total
Albert Park,0.0,13.0,0.0,13.0,1073.0,26.0,1171.0,0.0,13.0,0.0,12.0,2167.0,119.0,2397.0,341.0,45.0,0.0,427.0,7750.0,588.0,8941.0,1859.0,33.0,0.0,1945.0,4067.0,405.0,6477.0,1408.0,24.0,3.0,1541.0,3014.0,321.0,4892.0,362.0,92.0,0.0,531.0,3296.0,279.0,4135.0,16.0,211.0,0.0,273.0,2239.0,145.0,2784.0,0.0,68.0,0.0,77.0,1219.0,88.0,1424.0,0.0,0.0,0.0,0.0,300.0,41.0,355.0,4127.0,826.0,29.0,5084.0,25254.0,2309.0,32577.0,0.0,22.0,0.0,25.0,1088.0,17.0,1204.0,7.0,18.0,0.0,33.0,2358.0,116.0,2536.0,740.0,129.0,0.0,976.0,7648.0,582.0,9236.0,2222.0,125.0,21.0,2475.0,3497.0,355.0,6345.0,1456.0,49.0,7.0,1635.0,3151.0,247.0,5082.0,123.0,344.0,0.0,533.0,3288.0,208.0,4082.0,0.0,565.0,0.0,582.0,2143.0,129.0,2911.0,3.0,92.0,0.0,99.0,1294.0,92.0,1539.0,0.0,0.0,0.0,0.0,411.0,49.0,496.0,4646.0,1684.0,31.0,6450.0,24946.0,2200.0,33590.0,0.0,48.0,0.0,51.0,2160.0,64.0,2346.0,7.0,32.0,0.0,52.0,4571.0,268.0,5024.0,1105.0,239.0,0.0,1404.0,15413.0,1215.0,18122.0,4091.0,201.0,45.0,4404.0,7598.0,805.0,12879.0,2897.0,133.0,32.0,3186.0,6177.0,603.0,10005.0,529.0,527.0,0.0,1109.0,6500.0,529.0,8170.0,29.0,858.0,0.0,939.0,4359.0,330.0,5702.0,15.0,186.0,0.0,211.0,2547.0,250.0,3058.0,0.0,3.0,0.0,3.0,785.0,117.0,943.0,8781.0,2584.0,122.0,11582.0,50198.0,4501.0,66246.0,66246.0
Ashwood,0.0,9.0,0.0,15.0,2440.0,32.0,2603.0,0.0,16.0,3.0,17.0,2970.0,145.0,3207.0,692.0,42.0,0.0,792.0,4356.0,331.0,5521.0,3057.0,32.0,0.0,3123.0,1858.0,144.0,5219.0,2459.0,0.0,3.0,2520.0,2656.0,117.0,5301.0,412.0,118.0,0.0,617.0,3698.0,97.0,4517.0,23.0,486.0,0.0,555.0,2509.0,40.0,3218.0,0.0,95.0,0.0,121.0,1822.0,62.0,2049.0,0.0,0.0,0.0,0.0,908.0,11.0,957.0,6807.0,1121.0,24.0,8022.0,23135.0,1443.0,32602.0,0.0,23.0,0.0,27.0,2254.0,35.0,2463.0,0.0,29.0,0.0,29.0,2587.0,99.0,2820.0,1163.0,52.0,3.0,1290.0,3382.0,199.0,4935.0,3870.0,26.0,38.0,4030.0,1432.0,130.0,5640.0,2486.0,50.0,3.0,2637.0,3023.0,141.0,5820.0,186.0,516.0,0.0,826.0,3938.0,80.0,4899.0,28.0,874.0,0.0,980.0,2529.0,80.0,3578.0,3.0,121.0,0.0,144.0,2344.0,78.0,2624.0,0.0,0.0,0.0,0.0,1264.0,72.0,1378.0,7863.0,2076.0,91.0,10028.0,22789.0,1296.0,34128.0,0.0,66.0,0.0,85.0,4788.0,97.0,5083.0,8.0,60.0,3.0,66.0,5550.0,269.0,6012.0,1843.0,121.0,0.0,2061.0,7814.0,658.0,10505.0,6846.0,64.0,79.0,7157.0,3353.0,394.0,10890.0,4950.0,77.0,37.0,5129.0,5527.0,336.0,11140.0,701.0,759.0,6.0,1494.0,7611.0,222.0,9372.0,109.0,1403.0,6.0,1587.0,5064.0,179.0,6764.0,14.0,308.0,0.0,342.0,4040.0,201.0,4731.0,0.0,0.0,0.0,0.0,2154.0,112.0,2343.0,14674.0,3220.0,173.0,18104.0,45865.0,2685.0,66765.0,66765.0
Bass,0.0,39.0,0.0,42.0,1402.0,101.0,1619.0,28.0,16.0,0.0,55.0,1249.0,44.0,1447.0,1214.0,58.0,4.0,1325.0,2235.0,185.0,3761.0,2027.0,26.0,23.0,2200.0,1337.0,234.0,3771.0,1142.0,40.0,4.0,1243.0,2347.0,217.0,3860.0,144.0,307.0,0.0,510.0,3681.0,294.0,4460.0,16.0,379.0,0.0,444.0,3798.0,293.0,4595.0,0.0,31.0,0.0,33.0,2023.0,176.0,2296.0,0.0,0.0,0.0,0.0,500.0,92.0,603.0,4714.0,1159.0,51.0,6014.0,18583.0,1983.0,26499.0,0.0,67.0,0.0,75.0,1336.0,89.0,1612.0,74.0,33.0,0.0,186.0,1113.0,51.0,1472.0,1814.0,121.0,21.0,2051.0,1841.0,190.0,4075.0,2372.0,57.0,66.0,2637.0,1036.0,205.0,3917.0,1063.0,213.0,18.0,1351.0,2372.0,142.0,4031.0,31.0,832.0,0.0,969.0,3639.0,266.0,4953.0,0.0,621.0,0.0,625.0,3663.0,269.0,4655.0,0.0,37.0,0.0,47.0,1948.0,208.0,2291.0,0.0,0.0,0.0,0.0,692.0,115.0,837.0,5520.0,2308.0,198.0,8184.0,17728.0,1958.0,27816.0,4.0,131.0,0.0,159.0,2822.0,270.0,3309.0,140.0,88.0,0.0,301.0,2383.0,158.0,2904.0,2963.0,221.0,47.0,3353.0,4069.0,407.0,7886.0,4484.0,128.0,150.0,4852.0,2366.0,494.0,7696.0,2197.0,328.0,57.0,2639.0,4638.0,468.0,7836.0,263.0,1156.0,0.0,1483.0,7414.0,613.0,9480.0,33.0,1069.0,0.0,1095.0,7389.0,629.0,9202.0,0.0,117.0,0.0,143.0,3971.0,421.0,4575.0,0.0,5.0,0.0,5.0,1212.0,244.0,1457.0,10273.0,3578.0,350.0,14242.0,36291.0,3931.0,54366.0,54366.0
Bayswater,0.0,16.0,0.0,16.0,1826.0,30.0,1984.0,7.0,19.0,0.0,31.0,1907.0,45.0,2104.0,977.0,79.0,0.0,1113.0,3692.0,223.0,5145.0,2968.0,25.0,29.0,3113.0,2046.0,172.0,5399.0,1504.0,20.0,8.0,1581.0,2710.0,155.0,4530.0,178.0,225.0,3.0,519.0,3296.0,78.0,3943.0,20.0,464.0,0.0,551.0,2766.0,66.0,3391.0,3.0,86.0,0.0,89.0,1723.0,56.0,2001.0,0.0,0.0,0.0,0.0,536.0,52.0,642.0,5857.0,1280.0,52.0,7220.0,20475.0,1286.0,29027.0,0.0,75.0,0.0,80.0,1585.0,55.0,1775.0,37.0,54.0,0.0,134.0,1774.0,43.0,2041.0,1662.0,160.0,11.0,1919.0,3121.0,151.0,5246.0,3504.0,75.0,66.0,3704.0,1672.0,198.0,5609.0,1420.0,132.0,14.0,1640.0,2779.0,93.0,4637.0,74.0,778.0,0.0,970.0,3305.0,63.0,4390.0,20.0,893.0,0.0,961.0,2967.0,109.0,4102.0,6.0,57.0,0.0,81.0,1998.0,119.0,2243.0,0.0,0.0,0.0,0.0,830.0,151.0,1031.0,6851.0,2554.0,180.0,9709.0,20026.0,1359.0,31082.0,3.0,144.0,0.0,162.0,3330.0,118.0,3681.0,72.0,96.0,0.0,240.0,3717.0,130.0,4102.0,2644.0,291.0,25.0,3022.0,6797.0,458.0,10404.0,6506.0,135.0,128.0,6842.0,3653.0,417.0,10958.0,2943.0,215.0,30.0,3284.0,5580.0,333.0,9230.0,330.0,1056.0,3.0,1481.0,6622.0,202.0,8312.0,70.0,1405.0,0.0,1533.0,5760.0,221.0,7517.0,18.0,173.0,0.0,219.0,3706.0,225.0,4297.0,0.0,0.0,0.0,0.0,1449.0,214.0,1694.0,12786.0,3831.0,317.0,16897.0,40522.0,2764.0,60172.0,60172.0
Bellarine,0.0,32.0,0.0,36.0,1662.0,57.0,1821.0,4.0,7.0,0.0,15.0,1326.0,24.0,1450.0,794.0,38.0,7.0,885.0,1954.0,53.0,3038.0,2313.0,20.0,33.0,2430.0,1178.0,83.0,3703.0,1519.0,55.0,0.0,1644.0,2150.0,158.0,4004.0,217.0,333.0,0.0,644.0,3571.0,152.0,4456.0,9.0,647.0,0.0,691.0,4209.0,239.0,5230.0,0.0,87.0,0.0,82.0,2371.0,200.0,2751.0,0.0,0.0,0.0,0.0,644.0,82.0,729.0,5050.0,1516.0,67.0,6658.0,19173.0,1544.0,27328.0,0.0,60.0,0.0,58.0,1486.0,58.0,1725.0,22.0,33.0,0.0,76.0,1182.0,18.0,1399.0,1278.0,77.0,21.0,1434.0,1680.0,74.0,3239.0,2763.0,78.0,94.0,2962.0,973.0,118.0,4227.0,1583.0,156.0,10.0,1901.0,2561.0,112.0,4590.0,61.0,1053.0,3.0,1193.0,4061.0,187.0,5437.0,3.0,1136.0,0.0,1181.0,4230.0,300.0,5744.0,3.0,80.0,0.0,96.0,2547.0,232.0,3005.0,0.0,0.0,0.0,0.0,937.0,200.0,1174.0,5848.0,2907.0,199.0,9084.0,19699.0,1638.0,30445.0,4.0,132.0,0.0,137.0,3118.0,163.0,3466.0,58.0,79.0,0.0,158.0,2555.0,76.0,2837.0,2108.0,151.0,28.0,2427.0,3574.0,168.0,6250.0,5125.0,133.0,152.0,5456.0,2122.0,272.0,7903.0,3108.0,252.0,23.0,3513.0,4766.0,323.0,8618.0,318.0,1374.0,8.0,1820.0,7664.0,417.0,9942.0,59.0,1832.0,0.0,1920.0,8450.0,625.0,10964.0,12.0,237.0,0.0,249.0,4932.0,480.0,5750.0,0.0,0.0,0.0,0.0,1659.0,295.0,2013.0,10869.0,4441.0,319.0,15743.0,38803.0,3141.0,57773.0,57773.0
Benambra,0.0,31.0,0.0,37.0,1907.0,111.0,2145.0,38.0,31.0,0.0,72.0,1468.0,86.0,1743.0,1161.0,44.0,22.0,1352.0,2228.0,215.0,3832.0,2034.0,19.0,21.0,2201.0,1287.0,231.0,3784.0,1284.0,75.0,8.0,1402.0,2378.0,201.0,4060.0,165.0,298.0,0.0,568.0,3459.0,222.0,4280.0,7.0,332.0,0.0,351.0,3257.0,180.0,3972.0,0.0,24.0,0.0,34.0,1720.0,97.0,1947.0,0.0,0.0,0.0,0.0,469.0,41.0,547.0,4967.0,1225.0,92.0,6307.0,18226.0,1820.0,26470.0,0.0,91.0,0.0,110.0,1644.0,111.0,1944.0,104.0,50.0,6.0,192.0,1223.0,53.0,1648.0,1763.0,103.0,64.0,2036.0,1695.0,187.0,3916.0,2623.0,65.0,86.0,2882.0,1128.0,202.0,4222.0,1277.0,309.0,7.0,1646.0,2518.0,142.0,4338.0,64.0,837.0,0.0,922.0,3457.0,187.0,4661.0,0.0,615.0,0.0,613.0,3184.0,137.0,4014.0,0.0,55.0,0.0,59.0,1829.0,114.0,2099.0,0.0,0.0,0.0,0.0,702.0,114.0,874.0,5907.0,2468.0,258.0,8665.0,17444.0,1629.0,27707.0,9.0,187.0,0.0,217.0,3539.0,294.0,4052.0,213.0,92.0,6.0,339.0,2726.0,172.0,3392.0,2983.0,171.0,102.0,3416.0,3873.0,499.0,7781.0,4685.0,120.0,136.0,5038.0,2524.0,482.0,8013.0,2515.0,408.0,38.0,3055.0,4899.0,432.0,8474.0,285.0,1166.0,11.0,1531.0,6928.0,442.0,8939.0,34.0,981.0,0.0,1057.0,6425.0,419.0,8029.0,3.0,136.0,4.0,147.0,3571.0,266.0,4115.0,0.0,0.0,0.0,0.0,1256.0,164.0,1460.0,10893.0,3696.0,421.0,14967.0,35752.0,3452.0,54133.0,54133.0
Bendigo East,0.0,69.0,0.0,75.0,1999.0,95.0,2208.0,43.0,20.0,0.0,95.0,1938.0,88.0,2176.0,1335.0,62.0,0.0,1511.0,2647.0,198.0,4385.0,2404.0,33.0,10.0,2544.0,1337.0,134.0,4130.0,1504.0,67.0,0.0,1600.0,2276.0,190.0,4125.0,218.0,313.0,0.0,585.0,3271.0,214.0,4184.0,23.0,472.0,0.0,502.0,3007.0,197.0,3736.0,0.0,45.0,0.0,55.0,1639.0,94.0,1903.0,0.0,0.0,0.0,0.0,540.0,41.0,617.0,5573.0,1473.0,71.0,7109.0,18718.0,1651.0,27524.0,0.0,122.0,0.0,131.0,1817.0,69.0,2116.0,103.0,82.0,0.0,268.0,1820.0,54.0,2237.0,2004.0,163.0,57.0,2284.0,2274.0,171.0,4790.0,2955.0,74.0,66.0,3175.0,1194.0,191.0,4649.0,1351.0,212.0,10.0,1783.0,2545.0,161.0,4550.0,75.0,915.0,0.0,1095.0,3368.0,183.0,4698.0,9.0,747.0,0.0,827.0,2992.0,122.0,3967.0,0.0,85.0,0.0,103.0,1859.0,113.0,2126.0,0.0,4.0,0.0,4.0,835.0,110.0,1005.0,6649.0,2788.0,268.0,9740.0,18866.0,1640.0,30258.0,3.0,228.0,0.0,244.0,3884.0,198.0,4387.0,202.0,142.0,0.0,402.0,3714.0,174.0,4434.0,3365.0,293.0,110.0,3783.0,4942.0,446.0,9179.0,5333.0,145.0,136.0,5788.0,2522.0,424.0,8738.0,2831.0,317.0,35.0,3275.0,4902.0,436.0,8657.0,370.0,1338.0,0.0,1731.0,6694.0,461.0,8897.0,57.0,1264.0,0.0,1346.0,5957.0,401.0,7760.0,6.0,222.0,0.0,237.0,3453.0,257.0,4080.0,0.0,7.0,0.0,7.0,1461.0,191.0,1678.0,12210.0,4202.0,413.0,16929.0,37554.0,3325.0,57785.0,57785.0
Bendigo West,0.0,37.0,0.0,45.0,1445.0,86.0,1666.0,31.0,10.0,0.0,72.0,1391.0,127.0,1684.0,993.0,60.0,10.0,1109.0,2299.0,438.0,3841.0,1876.0,29.0,10.0,1983.0,1347.0,342.0,3777.0,1181.0,61.0,0.0,1285.0,2176.0,289.0,3817.0,155.0,260.0,0.0,490.0,3207.0,246.0,3956.0,14.0,409.0,0.0,484.0,3143.0,246.0,3904.0,0.0,48.0,0.0,60.0,1868.0,157.0,2142.0,0.0,0.0,0.0,0.0,615.0,110.0,747.0,4371.0,1173.0,58.0,5670.0,17515.0,2287.0,25444.0,0.0,62.0,0.0,83.0,1458.0,81.0,1660.0,70.0,63.0,0.0,182.0,1272.0,44.0,1604.0,1525.0,111.0,64.0,1782.0,1898.0,234.0,3909.0,2283.0,57.0,79.0,2487.0,1114.0,165.0,3857.0,1185.0,234.0,13.0,1564.0,2280.0,178.0,4087.0,77.0,803.0,3.0,943.0,3284.0,204.0,4506.0,9.0,697.0,0.0,709.0,3268.0,175.0,4191.0,0.0,70.0,0.0,71.0,2094.0,203.0,2421.0,0.0,0.0,0.0,0.0,821.0,247.0,1160.0,5250.0,2423.0,232.0,7956.0,17456.0,1969.0,27400.0,10.0,162.0,0.0,185.0,2924.0,214.0,3340.0,154.0,104.0,0.0,327.0,2638.0,195.0,3241.0,2440.0,230.0,95.0,2813.0,4225.0,722.0,7696.0,4180.0,114.0,106.0,4475.0,2483.0,597.0,7577.0,2370.0,347.0,36.0,2842.0,4523.0,497.0,7924.0,296.0,1123.0,8.0,1484.0,6510.0,499.0,8503.0,36.0,1093.0,0.0,1170.0,6390.0,447.0,8047.0,3.0,178.0,0.0,180.0,3949.0,421.0,4600.0,0.0,1.0,0.0,1.0,1383.0,365.0,1891.0,9639.0,3663.0,326.0,13598.0,34968.0,4262.0,52908.0,52908.0
Bentleigh,0.0,19.0,0.0,19.0,2382.0,48.0,2546.0,3.0,19.0,0.0,26.0,2000.0,35.0,2118.0,670.0,36.0,0.0,757.0,3442.0,189.0,4419.0,3282.0,26.0,0.0,3366.0,1859.0,147.0,5469.0,2617.0,7.0,0.0,2710.0,2768.0,97.0,5604.0,415.0,109.0,0.0,562.0,3417.0,83.0,4177.0,6.0,344.0,0.0,381.0,2237.0,43.0,2833.0,0.0,48.0,0.0,53.0,1482.0,49.0,1645.0,0.0,0.0,0.0,0.0,732.0,45.0,812.0,7121.0,925.0,21.0,8137.0,20323.0,1139.0,29619.0,0.0,68.0,0.0,70.0,2122.0,28.0,2303.0,0.0,35.0,0.0,45.0,1788.0,43.0,1967.0,1075.0,52.0,0.0,1244.0,2955.0,127.0,4383.0,4170.0,45.0,51.0,4389.0,1564.0,136.0,6143.0,2680.0,58.0,15.0,2856.0,3104.0,126.0,6092.0,166.0,471.0,0.0,753.0,3500.0,61.0,4400.0,19.0,695.0,0.0,762.0,2417.0,103.0,3261.0,0.0,68.0,0.0,86.0,1976.0,98.0,2274.0,0.0,0.0,0.0,0.0,1395.0,79.0,1564.0,8274.0,1933.0,155.0,10316.0,20800.0,1244.0,32424.0,0.0,126.0,0.0,129.0,4508.0,88.0,4854.0,18.0,78.0,0.0,113.0,3774.0,91.0,4082.0,1790.0,120.0,0.0,2006.0,6416.0,399.0,8774.0,7518.0,81.0,83.0,7769.0,3380.0,407.0,11502.0,5308.0,124.0,42.0,5566.0,5769.0,291.0,11664.0,637.0,709.0,3.0,1317.0,6978.0,177.0,8616.0,55.0,1171.0,4.0,1272.0,4684.0,222.0,6187.0,0.0,197.0,0.0,219.0,3422.0,185.0,3900.0,0.0,0.0,0.0,0.0,2133.0,142.0,2336.0,15357.0,2897.0,215.0,18481.0,41173.0,2423.0,61952.0,61952.0
Berwick,0.0,33.0,0.0,40.0,2671.0,70.0,2907.0,12.0,29.0,0.0,56.0,2322.0,80.0,2577.0,1379.0,32.0,13.0,1557.0,3244.0,271.0,5023.0,4245.0,47.0,10.0,4346.0,2061.0,226.0,6616.0,2070.0,36.0,0.0,2165.0,2998.0,140.0,5397.0,217.0,219.0,4.0,519.0,3043.0,71.0,3711.0,13.0,310.0,0.0,354.0,1733.0,33.0,2242.0,0.0,45.0,0.0,48.0,1103.0,35.0,1219.0,0.0,0.0,0.0,0.0,321.0,8.0,365.0,8098.0,1105.0,51.0,9348.0,19666.0,1241.0,30181.0,0.0,88.0,0.0,92.0,2371.0,39.0,2596.0,80.0,82.0,0.0,230.0,1958.0,41.0,2310.0,2441.0,121.0,23.0,2667.0,2666.0,225.0,5609.0,4904.0,80.0,44.0,5181.0,1573.0,186.0,7018.0,1885.0,172.0,7.0,2165.0,3148.0,96.0,5450.0,101.0,760.0,0.0,935.0,2776.0,51.0,3783.0,6.0,546.0,0.0,600.0,1933.0,80.0,2693.0,0.0,53.0,0.0,49.0,1341.0,78.0,1583.0,0.0,0.0,0.0,0.0,485.0,37.0,530.0,9590.0,2294.0,197.0,12167.0,18250.0,1274.0,31769.0,0.0,180.0,0.0,210.0,5016.0,139.0,5497.0,126.0,133.0,0.0,344.0,4340.0,131.0,4962.0,3906.0,172.0,50.0,4233.0,5943.0,531.0,10729.0,9088.0,168.0,113.0,9462.0,3584.0,520.0,13605.0,4025.0,317.0,28.0,4371.0,6192.0,281.0,10849.0,401.0,1076.0,4.0,1530.0,5755.0,184.0,7493.0,37.0,872.0,0.0,995.0,3741.0,174.0,4955.0,0.0,120.0,0.0,129.0,2473.0,148.0,2897.0,0.0,0.0,0.0,0.0,854.0,54.0,925.0,17701.0,3371.0,356.0,21440.0,37893.0,2568.0,61954.0,61954.0
Box Hill,0.0,17.0,0.0,21.0,2426.0,45.0,2564.0,7.0,21.0,0.0,33.0,3450.0,175.0,3736.0,713.0,28.0,0.0,756.0,5357.0,434.0,6671.0,2889.0,18.0,8.0,2941.0,2256.0,178.0,5495.0,2284.0,23.0,10.0,2361.0,2770.0,142.0,5220.0,396.0,138.0,0.0,587.0,3671.0,64.0,4452.0,39.0,405.0,0.0,482.0,2542.0,96.0,3273.0,0.0,53.0,0.0,70.0,1723.0,35.0,2017.0,0.0,0.0,0.0,0.0,872.0,58.0,975.0,6462.0,1019.0,29.0,7548.0,25130.0,1678.0,34316.0,5.0,36.0,0.0,44.0,2410.0,39.0,2636.0,10.0,51.0,0.0,88.0,3140.0,158.0,3474.0,1206.0,84.0,0.0,1374.0,4827.0,336.0,6552.0,3556.0,59.0,29.0,3767.0,1829.0,118.0,5842.0,2332.0,39.0,18.0,2489.0,3271.0,96.0,5887.0,175.0,516.0,0.0,861.0,3965.0,77.0,4895.0,44.0,837.0,4.0,912.0,2833.0,81.0,3888.0,18.0,94.0,0.0,120.0,2352.0,86.0,2658.0,0.0,0.0,0.0,0.0,1488.0,107.0,1645.0,7563.0,2088.0,91.0,9747.0,26173.0,1688.0,37672.0,5.0,86.0,0.0,106.0,4850.0,94.0,5203.0,39.0,99.0,0.0,186.0,6580.0,382.0,7238.0,1976.0,155.0,4.0,2145.0,10208.0,762.0,13220.0,6515.0,97.0,56.0,6720.0,4098.0,393.0,11280.0,4651.0,101.0,45.0,4862.0,6019.0,301.0,11211.0,666.0,771.0,6.0,1483.0,7595.0,256.0,9403.0,130.0,1242.0,4.0,1417.0,5351.0,250.0,7180.0,21.0,243.0,0.0,279.0,4148.0,166.0,4624.0,0.0,0.0,0.0,0.0,2390.0,181.0,2679.0,13983.0,3170.0,181.0,17364.0,51251.0,3372.0,72029.0,72029.0
