district,census_variable,value
Albert Park,M_15_19_yr_Married_n,0.0
Ashwood,M_15_19_yr_Married_n,0.0
Bass,M_15_19_yr_Married_n,0.0
Bayswater,M_15_19_yr_Married_n,0.0
Bellarine,M_15_19_yr_Married_n,0.0
Benambra,M_15_19_yr_Married_n,0.0
Bendigo East,M_15_19_yr_Married_n,0.0
Bendigo West,M_15_19_yr_Married_n,0.0
Bentleigh,M_15_19_yr_Married_n,0.0
Berwick,M_15_19_yr_Married_n,0.0
Box Hill,M_15_19_yr_Married_n,0.0
Brighton,M_15_19_yr_Married_n,0.0
Broadmeadows,M_15_19_yr_Married_n,3.0
Brunswick,M_15_19_yr_Married_n,0.0
Bulleen,M_15_19_yr_Married_n,0.0
Bundoora,M_15_19_yr_Married_n,0.0
Carrum,M_15_19_yr_Married_n,0.0
Caulfield,M_15_19_yr_Married_n,0.0
Clarinda,M_15_19_yr_Married_n,0.0
Cranbourne,M_15_19_yr_Married_n,0.0
Croydon,M_15_19_yr_Married_n,0.0
Dandenong,M_15_19_yr_Married_n,0.0
Eildon,M_15_19_yr_Married_n,0.0
Eltham,M_15_19_yr_Married_n,0.0
Essendon,M_15_19_yr_Married_n,0.0
Eureka,M_15_19_yr_Married_n,0.0
Euroa,M_15_19_yr_Married_n,0.0
Evelyn,M_15_19_yr_Married_n,0.0
Footscray,M_15_19_yr_Married_n,0.0
Frankston,M_15_19_yr_Married_n,0.0
Geelong,M_15_19_yr_Married_n,0.0
Gippsland East,M_15_19_yr_Married_n,0.0
Gippsland South,M_15_19_yr_Married_n,0.0
Glen Waverley,M_15_19_yr_Married_n,0.0
Greenvale,M_15_19_yr_Married_n,0.0
Hastings,M_15_19_yr_Married_n,0.0
Hawthorn,M_15_19_yr_Married_n,0.0
Ivanhoe,M_15_19_yr_Married_n,0.0
Kalkallo,M_15_19_yr_Married_n,0.0
Kew,M_15_19_yr_Married_n,0.0
Kororoit,M_15_19_yr_Married_n,6.0
Lara,M_15_19_yr_Married_n,3.0
Laverton,M_15_19_yr_Married_n,0.0
Lowan,M_15_19_yr_Married_n,0.0
Macedon,M_15_19_yr_Married_n,0.0
Malvern,M_15_19_yr_Married_n,0.0
Melbourne,M_15_19_yr_Married_n,14.0
Melton,M_15_19_yr_Married_n,0.0
Mildura,M_15_19_yr_Married_n,0.0
Mill Park,M_15_19_yr_Married_n,0.0
Monbulk,M_15_19_yr_Married_n,0.0
Mordialloc,M_15_19_yr_Married_n,0.0
Mornington,M_15_19_yr_Married_n,0.0
Morwell,M_15_19_yr_Married_n,0.0
Mulgrave,M_15_19_yr_Married_n,0.0
Murray Plains,M_15_19_yr_Married_n,0.0
Narracan,M_15_19_yr_Married_n,0.0
Narre Warren North,M_15_19_yr_Married_n,0.0
Narre Warren South,M_15_19_yr_Married_n,0.0
Nepean,M_15_19_yr_Married_n,0.0
Niddrie,M_15_19_yr_Married_n,0.0
Northcote,M_15_19_yr_Married_n,0.0
Oakleigh,M_15_19_yr_Married_n,0.0
Ovens Valley,M_15_19_yr_Married_n,0.0
Pakenham,M_15_19_yr_Married_n,0.0
Pascoe Vale,M_15_19_yr_Married_n,0.0
Point Cook,M_15_19_yr_Married_n,0.0
Polwarth,M_15_19_yr_Married_n,0.0
Prahran,M_15_19_yr_Married_n,0.0
Preston,M_15_19_yr_Married_n,0.0
Richmond,M_15_19_yr_Married_n,0.0
Ringwood,M_15_19_yr_Married_n,0.0
Ripon,M_15_19_yr_Married_n,0.0
Rowville,M_15_19_yr_Married_n,0.0
Sandringham,M_15_19_yr_Married_n,0.0
Shepparton,M_15_19_yr_Married_n,0.0
South Barwon,M_15_19_yr_Married_n,0.0
South-West Coast,M_15_19_yr_Married_n,0.0
St Albans,M_15_19_yr_Married_n,0.0
Sunbury,M_15_19_yr_Married_n,0.0
Sydenham,M_15_19_yr_Married_n,0.0
Tarneit,M_15_19_yr_Married_n,0.0
Thomastown,M_15_19_yr_Married_n,0.0
Warrandyte,M_15_19_yr_Married_n,0.0
Wendouree,M_15_19_yr_Married_n,3.0
Werribee,M_15_19_yr_Married_n,0.0
Williamstown,M_15_19_yr_Married_n,0.0
Yan Yean,M_15_19_yr_Married_n,0.0
Albert Park,M_15_19_yr_Married_pc,0.0
Ashwood,M_15_19_yr_Married_pc,0.0
Bass,M_15_19_yr_Married_pc,0.0
Bayswater,M_15_19_yr_Married_pc,0.0
Bellarine,M_15_19_yr_Married_pc,0.0
Benambra,M_15_19_yr_Married_pc,0.0
Bendigo East,M_15_19_yr_Married_pc,0.0
Bendigo West,M_15_19_yr_Married_pc,0.0
Bentleigh,M_15_19_yr_Married_pc,0.0
Berwick,M_15_19_yr_Married_pc,0.0
Box Hill,M_15_19_yr_Married_pc,0.0
Brighton,M_15_19_yr_Married_pc,0.0
Broadmeadows,M_15_19_yr_Married_pc,0.0
Brunswick,M_15_19_yr_Married_pc,0.0
Bulleen,M_15_19_yr_Married_pc,0.0
Bundoora,M_15_19_yr_Married_pc,0.0
Carrum,M_15_19_yr_Married_pc,0.0
Caulfield,M_15_19_yr_Married_pc,0.0
Clarinda,M_15_19_yr_Married_pc,0.0
Cranbourne,M_15_19_yr_Married_pc,0.0
Croydon,M_15_19_yr_Married_pc,0.0
Dandenong,M_15_19_yr_Married_pc,0.0
Eildon,M_15_19_yr_Married_pc,0.0
Eltham,M_15_19_yr_Married_pc,0.0
Essendon,M_15_19_yr_Married_pc,0.0
Eureka,M_15_19_yr_Married_pc,0.0
Euroa,M_15_19_yr_Married_pc,0.0
Evelyn,M_15_19_yr_Married_pc,0.0
Footscray,M_15_19_yr_Married_pc,0.0
Frankston,M_15_19_yr_Married_pc,0.0
Geelong,M_15_19_yr_Married_pc,0.0
Gippsland East,M_15_19_yr_Married_pc,0.0
Gippsland South,M_15_19_yr_Married_pc,0.0
Glen Waverley,M_15_19_yr_Married_pc,0.0
Greenvale,M_15_19_yr_Married_pc,0.0
Hastings,M_15_19_yr_Married_pc,0.0
Hawthorn,M_15_19_yr_Married_pc,0.0
Ivanhoe,M_15_19_yr_Married_pc,0.0
Kalkallo,M_15_19_yr_Married_pc,0.0
Kew,M_15_19_yr_Married_pc,0.0
Kororoit,M_15_19_yr_Married_pc,0.0001
Lara,M_15_19_yr_Married_pc,0.0001
Laverton,M_15_19_yr_Married_pc,0.0
Lowan,M_15_19_yr_Married_pc,0.0
Macedon,M_15_19_yr_Married_pc,0.0
Malvern,M_15_19_yr_Married_pc,0.0
Melbourne,M_15_19_yr_Married_pc,0.0001
Melton,M_15_19_yr_Married_pc,0.0
Mildura,M_15_19_yr_Married_pc,0.0
Mill Park,M_15_19_yr_Married_pc,0.0
Monbulk,M_15_19_yr_Married_pc,0.0
Mordialloc,M_15_19_yr_Married_pc,0.0
Mornington,M_15_19_yr_Married_pc,0.0
Morwell,M_15_19_yr_Married_pc,0.0
Mulgrave,M_15_19_yr_Married_pc,0.0
Murray Plains,M_15_19_yr_Married_pc,0.0
Narracan,M_15_19_yr_Married_pc,0.0
Narre Warren North,M_15_19_yr_Married_pc,0.0
Narre Warren South,M_15_19_yr_Married_pc,0.0
Nepean,M_15_19_yr_Married_pc,0.0
Niddrie,M_15_19_yr_Married_pc,0.0
Northcote,M_15_19_yr_Married_pc,0.0
Oakleigh,M_15_19_yr_Married_pc,0.0
Ovens Valley,M_15_19_yr_Married_pc,0.0
Pakenham,M_15_19_yr_Married_pc,0.0
Pascoe Vale,M_15_19_yr_Married_pc,0.0
Point Cook,M_15_19_yr_Married_pc,0.0
Polwarth,M_15_19_yr_Married_pc,0.0
Prahran,M_15_19_yr_Married_pc,0.0
Preston,M_15_19_yr_Married_pc,0.0
Richmond,M_15_19_yr_Married_pc,0.0
Ringwood,M_15_19_yr_Married_pc,0.0
Ripon,M_15_19_yr_Married_pc,0.0
Rowville,M_15_19_yr_Married_pc,0.0
Sandringham,M_15_19_yr_Married_pc,0.0
Shepparton,M_15_19_yr_Married_pc,0.0
South Barwon,M_15_19_yr_Married_pc,0.0
South-West Coast,M_15_19_yr_Married_pc,0.0
St Albans,M_15_19_yr_Married_pc,0.0
Sunbury,M_15_19_yr_Married_pc,0.0
Sydenham,M_15_19_yr_Married_pc,0.0
Tarneit,M_15_19_yr_Married_pc,0.0
Thomastown,M_15_19_yr_Married_pc,0.0
Warrandyte,M_15_19_yr_Married_pc,0.0
Wendouree,M_15_19_yr_Married_pc,0.0001
Werribee,M_15_19_yr_Married_pc,0.0
Williamstown,M_15_19_yr_Married_pc,0.0
Yan Yean,M_15_19_yr_Married_pc,0.0
Albert Park,M_15_19_yr_Separated_n,0.0
Ashwood,M_15_19_yr_Separated_n,0.0
Bass,M_15_19_yr_Separated_n,0.0
Bayswater,M_15_19_yr_Separated_n,5.0
Bellarine,M_15_19_yr_Separated_n,0.0
Benambra,M_15_19_yr_Separated_n,0.0
Bendigo East,M_15_19_yr_Separated_n,0.0
Bendigo West,M_15_19_yr_Separated_n,0.0
Bentleigh,M_15_19_yr_Separated_n,0.0
