district,M_Current_ADF_Regular_15_24_n,M_Current_ADF_Regular_25_34_n,M_Current_ADF_Regular_35_44_n,M_Current_ADF_Regular_45_54_n,M_Current_ADF_Regular_55_64_n,M_Current_ADF_Regular_65_74_n,M_Current_ADF_Regular_75_84_n,M_Current_ADF_Regular_85_ov_n,M_Current_ADF_Regular_Tot_n,M_Current_ADF_Reserves_15_24_n,M_Current_ADF_Reserves_25_34_n,M_Current_ADF_Reserves_35_44_n,M_Current_ADF_Reserves_45_54_n,M_Current_ADF_Reserves_55_64_n,M_Current_ADF_Reserves_65_74_n,M_Current_ADF_Reserves_75_84_n,M_Current_ADF_Reserves_85_ov_n,M_Current_ADF_Reserves_Tot_n,M_Prev_ADF_Ncs_15_24_n,M_Prev_ADF_Ncs_25_34_n,M_Prev_ADF_Ncs_35_44_n,M_Prev_ADF_Ncs_45_54_n,M_Prev_ADF_Ncs_55_64_n,M_Prev_ADF_Ncs_65_74_n,M_Prev_ADF_Ncs_75_84_n,M_Prev_ADF_Ncs_85_ov_n,M_Prev_ADF_Ncs_Tot_n,M_Tot_ADF_ev_ser_15_24_n,M_Tot_ADF_ev_ser_25_34_n,M_Tot_ADF_ev_ser_35_44_n,M_Tot_ADF_ev_ser_45_54_n,M_Tot_ADF_ev_ser_55_64_n,M_Tot_ADF_ev_ser_65_74_n,M_Tot_ADF_ev_ser_75_84_n,M_Tot_ADF_ev_ser_85_ov_n,M_Tot_ADF_ev_ser_Tot_n,M_never_served_15_24_n,M_never_served_25_34_n,M_never_served_35_44_n,M_never_served_45_54_n,M_never_served_55_64_n,M_never_served_65_74_n,M_never_served_75_84_n,M_never_served_85_ov_n,M_never_served_Tot_n,M_NS_15_24_n,M_NS_25_34_n,M_NS_35_44_n,M_NS_45_54_n,M_NS_55_64_n,M_NS_65_74_n,M_NS_75_84_n,M_NS_85_ov_n,M_NS_Tot_n,M_Tot_15_24_n,M_Tot_25_34_n,M_Tot_35_44_n,M_Tot_45_54_n,M_Tot_55_64_n,M_Tot_65_74_n,M_Tot_75_84_n,M_Tot_85_ov_n,M_Tot_Tot_n,F_Current_ADF_Regular_15_24_n,F_Current_ADF_Regular_25_34_n,F_Current_ADF_Regular_35_44_n,F_Current_ADF_Regular_45_54_n,F_Current_ADF_Regular_55_64_n,F_Current_ADF_Regular_65_74_n,F_Current_ADF_Regular_75_84_n,F_Current_ADF_Regular_85_ov_n,F_Current_ADF_Regular_Tot_n,F_Current_ADF_Reserves_15_24_n,F_Current_ADF_Reserves_25_34_n,F_Current_ADF_Reserves_35_44_n,F_Current_ADF_Reserves_45_54_n,F_Current_ADF_Reserves_55_64_n,F_Current_ADF_Reserves_65_74_n,F_Current_ADF_Reserves_75_84_n,F_Current_ADF_Reserves_85_ov_n,F_Current_ADF_Reserves_Tot_n,F_Prev_ADF_Ncs_15_24_n,F_Prev_ADF_Ncs_25_34_n,F_Prev_ADF_Ncs_35_44_n,F_Prev_ADF_Ncs_45_54_n,F_Prev_ADF_Ncs_55_64_n,F_Prev_ADF_Ncs_65_74_n,F_Prev_ADF_Ncs_75_84_n,F_Prev_ADF_Ncs_85_ov_n,F_Prev_ADF_Ncs_Tot_n,F_Tot_ADF_ev_ser_15_24_n,F_Tot_ADF_ev_ser_25_34_n,F_Tot_ADF_ev_ser_35_44_n,F_Tot_ADF_ev_ser_45_54_n,F_Tot_ADF_ev_ser_55_64_n,F_Tot_ADF_ev_ser_65_74_n,F_Tot_ADF_ev_ser_75_84_n,F_Tot_ADF_ev_ser_85_ov_n,F_Tot_ADF_ev_ser_Tot_n,F_never_served_15_24_n,F_never_served_25_34_n,F_never_served_35_44_n,F_never_served_45_54_n,F_never_served_55_64_n,F_never_served_65_74_n,F_never_served_75_84_n,F_never_served_85_ov_n,F_never_served_Tot_n,F_NS_15_24_n,F_NS_25_34_n,F_NS_35_44_n,F_NS_45_54_n,F_NS_55_64_n,F_NS_65_74_n,F_NS_75_84_n,F_NS_85_ov_n,F_NS_Tot_n,F_Tot_15_24_n,F_Tot_25_34_n,F_Tot_35_44_n,F_Tot_45_54_n,F_Tot_55_64_n,F_Tot_65_74_n,F_Tot_75_84_n,F_Tot_85_ov_n,F_Tot_Tot_n,P_Current_ADF_Regular_15_24_n,P_Current_ADF_Regular_25_34_n,P_Current_ADF_Regular_35_44_n,P_Current_ADF_Regular_45_54_n,P_Current_ADF_Regular_55_64_n,P_Current_ADF_Regular_65_74_n,P_Current_ADF_Regular_75_84_n,P_Current_ADF_Regular_85_ov_n,P_Current_ADF_Regular_Tot_n,P_Current_ADF_Reserves_15_24_n,P_Current_ADF_Reserves_25_34_n,P_Current_ADF_Reserves_35_44_n,P_Current_ADF_Reserves_45_54_n,P_Current_ADF_Reserves_55_64_n,P_Current_ADF_Reserves_65_74_n,P_Current_ADF_Reserves_75_84_n,P_Current_ADF_Reserves_85_ov_n,P_Current_ADF_Reserves_Tot_n,P_Prev_ADF_Ncs_15_24_n,P_Prev_ADF_Ncs_25_34_n,P_Prev_ADF_Ncs_35_44_n,P_Prev_ADF_Ncs_45_54_n,P_Prev_ADF_Ncs_55_64_n,P_Prev_ADF_Ncs_65_74_n,P_Prev_ADF_Ncs_75_84_n,P_Prev_ADF_Ncs_85_ov_n,P_Prev_ADF_Ncs_Tot_n,P_Tot_ADF_ev_ser_15_24_n,P_Tot_ADF_ev_ser_25_34_n,P_Tot_ADF_ev_ser_35_44_n,P_Tot_ADF_ev_ser_45_54_n,P_Tot_ADF_ev_ser_55_64_n,P_Tot_ADF_ev_ser_65_74_n,P_Tot_ADF_ev_ser_75_84_n,P_Tot_ADF_ev_ser_85_ov_n,P_Tot_ADF_ev_ser_Tot_n,P_never_served_15_24_n,P_never_served_25_34_n,P_never_served_35_44_n,P_never_served_45_54_n,P_never_served_55_64_n,P_never_served_65_74_n,P_never_served_75_84_n,P_never_served_85_ov_n,P_never_served_Tot_n,P_NS_15_24_n,P_NS_25_34_n,P_NS_35_44_n,P_NS_45_54_n,P_NS_55_64_n,P_NS_65_74_n,P_NS_75_84_n,P_NS_85_ov_n,P_NS_Tot_n,P_Tot_15_24_n,P_Tot_25_34_n,P_Tot_35_44_n,P_Tot_45_54_n,P_Tot_55_64_n,P_Tot_65_74_n,P_Tot_75_84_n,P_Tot_85_ov_n,P_Tot_Tot_n,P_Tot_Tot_total
Albert Park,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,43.0,74.0,80.0,99.0,70.0,31.0,664.0,3.0,40.0,78.0,84.0,100.0,99.0,70.0,31.0,766.0,3327.0,8226.0,5948.0,4453.0,3669.0,2388.0,1198.0,244.0,29554.0,169.0,577.0,371.0,295.0,281.0,124.0,92.0,43.0,2229.0,3524.0,8941.0,6477.0,4892.0,4135.0,2784.0,1424.0,355.0,32577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,5.0,47.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,5.0,67.0,3642.0,8633.0,5937.0,4784.0,3804.0,2728.0,1360.0,399.0,31274.0,159.0,570.0,330.0,217.0,207.0,129.0,112.0,64.0,2131.0,3821.0,9236.0,6345.0,5082.0,4082.0,2911.0,1539.0,496.0,33590.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,20.0,45.0,106.0,119.0,108.0,84.0,34.0,797.0,3.0,55.0,80.0,143.0,143.0,108.0,84.0,34.0,923.0,6972.0,16822.0,11906.0,9214.0,7486.0,5185.0,2600.0,698.0,60858.0,346.0,1174.0,763.0,596.0,538.0,315.0,257.0,131.0,4389.0,7364.0,18122.0,12879.0,10005.0,8170.0,5702.0,3058.0,943.0,66246.0,66246.0
Ashwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,3.0,39.0,38.0,114.0,143.0,168.0,868.0,0.0,13.0,6.0,49.0,41.0,114.0,143.0,168.0,934.0,5568.0,5174.0,4952.0,5045.0,4262.0,2929.0,1818.0,673.0,30396.0,190.0,312.0,113.0,114.0,87.0,34.0,58.0,12.0,1264.0,5780.0,5521.0,5219.0,5301.0,4517.0,3218.0,2049.0,957.0,32602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,54.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,71.0,5016.0,4685.0,5446.0,5625.0,4741.0,3434.0,2493.0,1235.0,32825.0,121.0,166.0,116.0,115.0,86.0,71.0,73.0,86.0,1170.0,5239.0,4935.0,5640.0,5820.0,4899.0,3578.0,2624.0,1378.0,34128.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,8.0,64.0,67.0,150.0,154.0,189.0,967.0,0.0,18.0,21.0,74.0,77.0,150.0,154.0,189.0,1051.0,10616.0,9860.0,10404.0,10629.0,8951.0,6396.0,4326.0,1927.0,63190.0,350.0,604.0,313.0,307.0,216.0,153.0,188.0,122.0,2506.0,10992.0,10505.0,10890.0,11140.0,9372.0,6764.0,4731.0,2343.0,66765.0,66765.0
Bass,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,13.0,43.0,105.0,394.0,258.0,106.0,1262.0,0.0,18.0,16.0,46.0,110.0,394.0,258.0,106.0,1301.0,2840.0,3556.0,3455.0,3528.0,4113.0,3834.0,1821.0,355.0,23412.0,137.0,171.0,206.0,198.0,260.0,258.0,161.0,86.0,1758.0,3080.0,3761.0,3771.0,3860.0,4460.0,4595.0,2296.0,603.0,26499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,25.0,4.0,0.0,3.0,132.0,0.0,0.0,7.0,5.0,28.0,4.0,0.0,3.0,137.0,2898.0,3856.0,3633.0,3717.0,4597.0,4353.0,2045.0,692.0,25812.0,146.0,149.0,199.0,127.0,236.0,256.0,236.0,94.0,1859.0,3103.0,4075.0,3917.0,4031.0,4953.0,4655.0,2291.0,837.0,27816.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,17.0,32.0,81.0,179.0,414.0,277.0,115.0,1425.0,0.0,24.0,38.0,84.0,183.0,414.0,277.0,115.0,1456.0,5724.0,7409.0,7107.0,7240.0,8726.0,8113.0,3870.0,1027.0,49319.0,385.0,388.0,455.0,401.0,548.0,549.0,388.0,210.0,3619.0,6163.0,7886.0,7696.0,7836.0,9480.0,9202.0,4575.0,1457.0,54366.0,54366.0
Bayswater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,19.0,23.0,52.0,66.0,284.0,169.0,47.0,1059.0,0.0,32.0,29.0,64.0,84.0,284.0,169.0,47.0,1147.0,3850.0,4775.0,5106.0,4294.0,3682.0,2997.0,1618.0,440.0,26693.0,118.0,187.0,165.0,124.0,64.0,70.0,71.0,68.0,1221.0,3966.0,5145.0,5399.0,4530.0,3943.0,3391.0,2001.0,642.0,29027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,13.0,3.0,0.0,0.0,76.0,0.0,3.0,0.0,3.0,13.0,3.0,0.0,0.0,84.0,3659.0,5038.0,5358.0,4480.0,4240.0,3939.0,2067.0,800.0,29657.0,88.0,147.0,162.0,86.0,63.0,95.0,136.0,172.0,1375.0,3815.0,5246.0,5609.0,4637.0,4390.0,4102.0,2243.0,1031.0,31082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,27.0,26.0,70.0,139.0,310.0,185.0,56.0,1152.0,0.0,40.0,38.0,79.0,156.0,310.0,185.0,56.0,1240.0,7527.0,9855.0,10444.0,8716.0,7890.0,6915.0,3653.0,1248.0,56360.0,246.0,403.0,382.0,289.0,165.0,198.0,263.0,265.0,2611.0,7817.0,10404.0,10958.0,9230.0,8312.0,7517.0,4297.0,1694.0,60172.0,60172.0
Bellarine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,39.0,124.0,246.0,507.0,313.0,147.0,1611.0,0.0,12.0,63.0,135.0,249.0,507.0,313.0,147.0,1655.0,3151.0,2857.0,3466.0,3664.0,4025.0,4429.0,2158.0,430.0,24209.0,103.0,59.0,107.0,148.0,126.0,221.0,163.0,96.0,1397.0,3286.0,3038.0,3703.0,4004.0,4456.0,5230.0,2751.0,729.0,27328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,26.0,23.0,4.0,7.0,155.0,0.0,0.0,3.0,16.0,29.0,23.0,4.0,7.0,169.0,2915.0,3124.0,4010.0,4417.0,5164.0,5345.0,2699.0,902.0,28644.0,110.0,58.0,112.0,99.0,162.0,279.0,233.0,192.0,1530.0,3018.0,3239.0,4227.0,4590.0,5437.0,5744.0,3005.0,1174.0,30445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,13.0,49.0,153.0,300.0,547.0,344.0,158.0,1894.0,0.0,19.0,83.0,176.0,319.0,547.0,344.0,158.0,1962.0,6033.0,5989.0,7479.0,8055.0,9148.0,9834.0,4915.0,1431.0,52881.0,275.0,156.0,270.0,293.0,358.0,556.0,422.0,294.0,2944.0,6351.0,6250.0,7903.0,8618.0,9942.0,10964.0,5750.0,2013.0,57773.0,57773.0
Benambra,309.0,189.0,116.0,36.0,12.0,0.0,0.0,0.0,760.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,49.0,3.0,58.0,72.0,242.0,351.0,618.0,243.0,128.0,2077.0,325.0,301.0,218.0,346.0,439.0,618.0,243.0,128.0,2969.0,3287.0,3243.0,3198.0,3455.0,3612.0,3081.0,1512.0,338.0,21804.0,210.0,190.0,213.0,183.0,185.0,147.0,65.0,24.0,1649.0,3871.0,3832.0,3784.0,4060.0,4280.0,3972.0,1947.0,547.0,26470.0,150.0,71.0,18.0,3.0,0.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,8.0,9.0,34.0,31.0,23.0,0.0,3.0,320.0,164.0,87.0,40.0,49.0,45.0,23.0,0.0,3.0,637.0,3127.0,3614.0,3918.0,4041.0,4377.0,3759.0,1923.0,723.0,25569.0,183.0,160.0,170.0,135.0,158.0,140.0,112.0,105.0,1522.0,3499.0,3916.0,4222.0,4338.0,4661.0,4014.0,2099.0,874.0,27707.0,472.0,269.0,139.0,57.0,12.0,0.0,0.0,0.0,1010.0,0.0,0.0,4.0,4.0,16.0,0.0,0.0,0.0,82.0,8.0,80.0,113.0,327.0,446.0,682.0,257.0,145.0,2402.0,503.0,393.0,295.0,446.0,532.0,682.0,257.0,145.0,3611.0,6422.0,6897.0,7144.0,7451.0,7919.0,6867.0,3504.0,1104.0,47336.0,509.0,461.0,464.0,401.0,409.0,376.0,268.0,138.0,3195.0,7450.0,7781.0,8013.0,8474.0,8939.0,8029.0,4115.0,1460.0,54133.0,54133.0
Bendigo East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,28.0,3.0,33.0,47.0,145.0,133.0,371.0,264.0,165.0,1531.0,3.0,53.0,88.0,156.0,162.0,371.0,264.0,165.0,1588.0,4135.0,4079.0,3767.0,3659.0,3720.0,3114.0,1453.0,319.0,24306.0,215.0,171.0,136.0,175.0,208.0,170.0,88.0,52.0,1586.0,4362.0,4385.0,4130.0,4125.0,4184.0,3736.0,1903.0,617.0,27524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,14.0,11.0,28.0,3.0,6.0,153.0,4.0,3.0,7.0,17.0,11.0,28.0,3.0,6.0,172.0,4192.0,4584.0,4406.0,4272.0,4430.0,3736.0,1972.0,812.0,28420.0,147.0,176.0,164.0,169.0,177.0,130.0,138.0,115.0,1638.0,4443.0,4790.0,4649.0,4550.0,4698.0,3967.0,2126.0,1005.0,30258.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,32.0,7.0,41.0,83.0,188.0,196.0,427.0,263.0,181.0,1728.0,7.0,61.0,120.0,196.0,212.0,427.0,263.0,181.0,1819.0,8321.0,8673.0,8116.0,7921.0,8142.0,6912.0,3465.0,1192.0,52667.0,363.0,431.0,408.0,426.0,431.0,377.0,262.0,230.0,3210.0,8804.0,9179.0,8738.0,8657.0,8897.0,7760.0,4080.0,1678.0,57785.0,57785.0
Bendigo West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,67.0,83.0,156.0,340.0,307.0,131.0,1406.0,0.0,20.0,89.0,93.0,163.0,340.0,307.0,131.0,1440.0,3076.0,3369.0,3223.0,3321.0,3570.0,3244.0,1680.0,397.0,21866.0,207.0,446.0,317.0,268.0,201.0,223.0,145.0,124.0,2197.0,3310.0,3841.0,3777.0,3817.0,3956.0,3904.0,2142.0,747.0,25444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,4.0,15.0,17.0,9.0,6.0,3.0,169.0,0.0,5.0,4.0,15.0,17.0,9.0,6.0,3.0,183.0,3032.0,3635.0,3617.0,3796.0,4226.0,3920.0,2172.0,806.0,25343.0,137.0,232.0,170.0,163.0,183.0,161.0,210.0,263.0,1856.0,3288.0,3909.0,3857.0,4087.0,4506.0,4191.0,2421.0,1160.0,27400.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,26.0,79.0,160.0,218.0,378.0,313.0,142.0,1583.0,0.0,26.0,105.0,158.0,229.0,378.0,313.0,142.0,1636.0,6123.0,6991.0,6888.0,7203.0,7754.0,7161.0,3858.0,1116.0,47087.0,406.0,685.0,576.0,495.0,459.0,443.0,371.0,427.0,4098.0,6571.0,7696.0,7577.0,7924.0,8503.0,8047.0,4600.0,1891.0,52908.0,52908.0
Bentleigh,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,49.0,44.0,80.0,103.0,107.0,722.0,0.0,21.0,11.0,65.0,54.0,80.0,103.0,107.0,773.0,4481.0,4157.0,5226.0,5357.0,3953.0,2592.0,1392.0,574.0,27785.0,86.0,160.0,129.0,75.0,87.0,36.0,39.0,57.0,988.0,4662.0,4419.0,5469.0,5604.0,4177.0,2833.0,1645.0,812.0,29619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,12.0,40.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,12.0,54.0,4137.0,4225.0,5940.0,5906.0,4282.0,3159.0,2150.0,1373.0,31124.0,92.0,110.0,105.0,120.0,55.0,111.0,91.0,125.0,1159.0,4246.0,4383.0,6143.0,6092.0,4400.0,3261.0,2274.0,1564.0,32424.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,12.0,85.0,62.0,98.0,120.0,152.0,834.0,0.0,27.0,15.0,101.0,81.0,98.0,120.0,152.0,907.0,8628.0,8348.0,11150.0,11234.0,8213.0,5769.0,3575.0,1965.0,58894.0,254.0,362.0,319.0,256.0,161.0,199.0,159.0,182.0,2192.0,8909.0,8774.0,11502.0,11664.0,8616.0,6187.0,3900.0,2336.0,61952.0,61952.0
Berwick,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,9.0,52.0,89.0,107.0,81.0,52.0,662.0,0.0,22.0,22.0,69.0,100.0,107.0,81.0,52.0,702.0,5272.0,4772.0,6371.0,5051.0,3464.0,2014.0,1033.0,243.0,28331.0,159.0,224.0,169.0,117.0,80.0,21.0,33.0,4.0,1054.0,5447.0,5023.0,6616.0,5397.0,3711.0,2242.0,1219.0,365.0,30181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,4.0,32.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,4.0,43.0,4804.0,5348.0,6773.0,5347.0,3697.0,2568.0,1462.0,485.0,30474.0,116.0,206.0,162.0,87.0,48.0,56.0,68.0,31.0,1135.0,4966.0,5609.0,7018.0,5450.0,3783.0,2693.0,1583.0,530.0,31769.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,11.0,67.0,115.0,127.0,88.0,53.0,793.0,0.0,23.0,24.0,87.0,126.0,127.0,88.0,53.0,849.0,10020.0,10141.0,13074.0,10411.0,7118.0,4620.0,2569.0,759.0,58776.0,337.0,464.0,436.0,273.0,180.0,161.0,123.0,50.0,2263.0,10419.0,10729.0,13605.0,10849.0,7493.0,4955.0,2897.0,925.0,61954.0,61954.0
Box Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,7.0,11.0,29.0,82.0,93.0,140.0,119.0,843.0,4.0,17.0,21.0,35.0,94.0,93.0,140.0,119.0,907.0,5964.0,6172.0,5214.0,5002.0,4142.0,2996.0,1718.0,683.0,31844.0,248.0,396.0,164.0,134.0,60.0,79.0,39.0,62.0,1560.0,6299.0,6671.0,5495.0,5220.0,4452.0,3273.0,2017.0,975.0,34316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,8.0,37.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,8.0,57.0,5843.0,6157.0,5605.0,5747.0,4743.0,3739.0,2523.0,1468.0,35966.0,224.0,286.0,125.0,102.0,81.0,89.0,90.0,117.0,1614.0,6137.0,6552.0,5842.0,5887.0,4895.0,3888.0,2658.0,1645.0,37672.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,7.0,11.0,40.0,99.0,107.0,146.0,140.0,950.0,4.0,18.0,27.0,50.0,106.0,107.0,146.0,140.0,1009.0,11858.0,12337.0,10815.0,10751.0,8973.0,6729.0,4270.0,2204.0,67795.0,575.0,670.0,350.0,315.0,214.0,232.0,159.0,207.0,3167.0,12428.0,13220.0,11280.0,11211.0,9403.0,7180.0,4624.0,2679.0,72029.0,72029.0
Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,17.0,66.0,43.0,167.0,161.0,133.0,839.0,3.0,15.0,21.0,71.0,46.0,167.0,161.0,133.0,885.0,3770.0,3165.0,3712.0,4494.0,3979.0,2780.0,1505.0,433.0,23946.0,82.0,124.0,139.0,156.0,104.0,76.0,57.0,87.0,1133.0,3912.0,3392.0,3947.0,4823.0,4210.0,3091.0,1812.0,706.0,25864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,15.0,75.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,15.0,84.0,3541.0,3609.0,4431.0,5366.0,4470.0,3328.0,2068.0,1032.0,27837.0,62.0,176.0,168.0,128.0,93.0,100.0,146.0,152.0,1359.0,3623.0,3849.0,4638.0,5564.0,4628.0,3508.0,2281.0,1295.0,29402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,18.0,0.0,11.0,25.0,79.0,63.0,179.0,169.0,173.0,911.0,3.0,22.0,32.0,91.0,69.0,179.0,169.0,173.0,979.0,7298.0,6873.0,8063.0,9914.0,8432.0,6122.0,3610.0,1493.0,51775.0,152.0,333.0,388.0,360.0,261.0,231.0,215.0,236.0,2433.0,7519.0,7252.0,8557.0,10434.0,8797.0,6584.0,4096.0,1987.0,55277.0,55277.0
Broadmeadows,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17.0,3.0,6.0,36.0,61.0,59.0,49.0,457.0,3.0,46.0,14.0,6.0,37.0,61.0,59.0,49.0,534.0,4939.0,7167.0,5617.0,4033.0,3454.0,2126.0,1473.0,716.0,29440.0,495.0,729.0,491.0,301.0,229.0,101.0,89.0,55.0,2737.0,5404.0,7982.0,6173.0,4351.0,3753.0,2414.0,1717.0,868.0,32819.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,4248.0,6508.0,5318.0,3993.0,3601.0,2614.0,2215.0,1170.0,29758.0,309.0,525.0,329.0,225.0,180.0,101.0,131.0,136.0,2247.0,4608.0,7061.0,5619.0,4275.0,3836.0,2844.0,2395.0,1349.0,32056.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,20.0,9.0,10.0,37.0,73.0,59.0,59.0,490.0,4.0,54.0,20.0,10.0,38.0,73.0,59.0,59.0,575.0,9131.0,13643.0,10917.0,8028.0,7038.0,4792.0,3722.0,1957.0,59222.0,809.0,1288.0,901.0,588.0,432.0,267.0,295.0,230.0,5005.0,10009.0,15033.0,11875.0,8643.0,7590.0,5245.0,4148.0,2318.0,64868.0,64868.0
