district,M_15_19_yr_Married_pc,M_15_19_yr_Separated_pc,M_15_19_yr_Divorced_pc,M_15_19_yr_Widowed_pc,M_15_19_yr_Never_married_pc,M_15_19_yr_Tot_pc,M_20_24_yr_Married_pc,M_20_24_yr_Separated_pc,M_20_24_yr_Divorced_pc,M_20_24_yr_Widowed_pc,M_20_24_yr_Never_married_pc,M_20_24_yr_Tot_pc,M_25_34_yr_Married_pc,M_25_34_yr_Separated_pc,M_25_34_yr_Divorced_pc,M_25_34_yr_Widowed_pc,M_25_34_yr_Never_married_pc,M_25_34_yr_Tot_pc,M_35_44_yr_Married_pc,M_35_44_yr_Separated_pc,M_35_44_yr_Divorced_pc,M_35_44_yr_Widowed_pc,M_35_44_yr_Never_married_pc,M_35_44_yr_Tot_pc,M_45_54_yr_Married_pc,M_45_54_yr_Separated_pc,M_45_54_yr_Divorced_pc,M_45_54_yr_Widowed_pc,M_45_54_yr_Never_married_pc,M_45_54_yr_Tot_pc,M_55_64_yr_Married_pc,M_55_64_yr_Separated_pc,M_55_64_yr_Divorced_pc,M_55_64_yr_Widowed_pc,M_55_64_yr_Never_married_pc,M_55_64_yr_Tot_pc,M_65_74_yr_Married_pc,M_65_74_yr_Separated_pc,M_65_74_yr_Divorced_pc,M_65_74_yr_Widowed_pc,M_65_74_yr_Never_married_pc,M_65_74_yr_Tot_pc,M_75_84_yr_Married_pc,M_75_84_yr_Separated_pc,M_75_84_yr_Divorced_pc,M_75_84_yr_Widowed_pc,M_75_84_yr_Never_married_pc,M_75_84_yr_Tot_pc,M_85ov_Married_pc,M_85ov_Separated_pc,M_85ov_Divorced_pc,M_85ov_Widowed_pc,M_85ov_Never_married_pc,M_85ov_Tot_pc,M_Tot_Married_pc,M_Tot_Separated_pc,M_Tot_Divorced_pc,M_Tot_Widowed_pc,M_Tot_Never_married_pc,M_Tot_Tot_pc,F_15_19_yr_Married_pc,F_15_19_yr_Separated_pc,F_15_19_yr_Divorced_pc,F_15_19_yr_Widowed_pc,F_15_19_yr_Never_married_pc,F_15_19_yr_Tot_pc,F_20_24_yr_Married_pc,F_20_24_yr_Separated_pc,F_20_24_yr_Divorced_pc,F_20_24_yr_Widowed_pc,F_20_24_yr_Never_married_pc,F_20_24_yr_Tot_pc,F_25_34_yr_Married_pc,F_25_34_yr_Separated_pc,F_25_34_yr_Divorced_pc,F_25_34_yr_Widowed_pc,F_25_34_yr_Never_married_pc,F_25_34_yr_Tot_pc,F_35_44_yr_Married_pc,F_35_44_yr_Separated_pc,F_35_44_yr_Divorced_pc,F_35_44_yr_Widowed_pc,F_35_44_yr_Never_married_pc,F_35_44_yr_Tot_pc,F_45_54_yr_Married_pc,F_45_54_yr_Separated_pc,F_45_54_yr_Divorced_pc,F_45_54_yr_Widowed_pc,F_45_54_yr_Never_married_pc,F_45_54_yr_Tot_pc,F_55_64_yr_Married_pc,F_55_64_yr_Separated_pc,F_55_64_yr_Divorced_pc,F_55_64_yr_Widowed_pc,F_55_64_yr_Never_married_pc,F_55_64_yr_Tot_pc,F_65_74_yr_Married_pc,F_65_74_yr_Separated_pc,F_65_74_yr_Divorced_pc,F_65_74_yr_Widowed_pc,F_65_74_yr_Never_married_pc,F_65_74_yr_Tot_pc,F_75_84_yr_Married_pc,F_75_84_yr_Separated_pc,F_75_84_yr_Divorced_pc,F_75_84_yr_Widowed_pc,F_75_84_yr_Never_married_pc,F_75_84_yr_Tot_pc,F_85ov_Married_pc,F_85ov_Separated_pc,F_85ov_Divorced_pc,F_85ov_Widowed_pc,F_85ov_Never_married_pc,F_85ov_Tot_pc,F_Tot_Married_pc,F_Tot_Separated_pc,F_Tot_Divorced_pc,F_Tot_Widowed_pc,F_Tot_Never_married_pc,F_Tot_Tot_pc,P_15_19_yr_Married_pc,P_15_19_yr_Separated_pc,P_15_19_yr_Divorced_pc,P_15_19_yr_Widowed_pc,P_15_19_yr_Never_married_pc,P_15_19_yr_Tot_pc,P_20_24_yr_Married_pc,P_20_24_yr_Separated_pc,P_20_24_yr_Divorced_pc,P_20_24_yr_Widowed_pc,P_20_24_yr_Never_married_pc,P_20_24_yr_Tot_pc,P_25_34_yr_Married_pc,P_25_34_yr_Separated_pc,P_25_34_yr_Divorced_pc,P_25_34_yr_Widowed_pc,P_25_34_yr_Never_married_pc,P_25_34_yr_Tot_pc,P_35_44_yr_Married_pc,P_35_44_yr_Separated_pc,P_35_44_yr_Divorced_pc,P_35_44_yr_Widowed_pc,P_35_44_yr_Never_married_pc,P_35_44_yr_Tot_pc,P_45_54_yr_Married_pc,P_45_54_yr_Separated_pc,P_45_54_yr_Divorced_pc,P_45_54_yr_Widowed_pc,P_45_54_yr_Never_married_pc,P_45_54_yr_Tot_pc,P_55_64_yr_Married_pc,P_55_64_yr_Separated_pc,P_55_64_yr_Divorced_pc,P_55_64_yr_Widowed_pc,P_55_64_yr_Never_married_pc,P_55_64_yr_Tot_pc,P_65_74_yr_Married_pc,P_65_74_yr_Separated_pc,P_65_74_yr_Divorced_pc,P_65_74_yr_Widowed_pc,P_65_74_yr_Never_married_pc,P_65_74_yr_Tot_pc,P_75_84_yr_Married_pc,P_75_84_yr_Separated_pc,P_75_84_yr_Divorced_pc,P_75_84_yr_Widowed_pc,P_75_84_yr_Never_married_pc,P_75_84_yr_Tot_pc,P_85ov_Married_pc,P_85ov_Separated_pc,P_85ov_Divorced_pc,P_85ov_Widowed_pc,P_85ov_Never_married_pc,P_85ov_Tot_pc,P_Tot_Married_pc,P_Tot_Separated_pc,P_Tot_Divorced_pc,P_Tot_Widowed_pc,P_Tot_Never_married_pc,P_Tot_Tot_pc
Albert Park,0.0,0.0,0.0,0.0,0.0177,0.0177,0.0002,0.0,0.0,0.0,0.0358,0.0362,0.0219,0.0009,0.0007,0.0,0.1097,0.135,0.0398,0.0023,0.0059,0.0,0.0483,0.0978,0.0338,0.0034,0.01,0.0001,0.0263,0.0738,0.0294,0.0022,0.0112,0.0003,0.0157,0.0624,0.0223,0.0014,0.0069,0.0007,0.0077,0.042,0.013,0.0003,0.0027,0.0011,0.002,0.0215,0.0025,0.0,0.0002,0.0011,0.0004,0.0054,0.1659,0.0135,0.0409,0.0059,0.2654,0.4918,0.0,0.0,0.0,0.0,0.0182,0.0182,0.0008,0.0,0.0,0.0,0.0373,0.0383,0.0272,0.0008,0.0029,0.0,0.1061,0.1394,0.0403,0.0021,0.0086,0.0001,0.0433,0.0958,0.0353,0.0031,0.0122,0.0002,0.0243,0.0767,0.0286,0.0021,0.0136,0.0017,0.0145,0.0616,0.0205,0.0011,0.0099,0.0046,0.0052,0.0439,0.009,0.0001,0.0037,0.0072,0.0015,0.0232,0.0007,0.0001,0.0005,0.0045,0.0002,0.0075,0.1646,0.013,0.0558,0.0212,0.2528,0.507,0.0,0.0,0.0,0.0,0.0353,0.0354,0.0014,0.0,0.0,0.0,0.0738,0.0758,0.0497,0.0024,0.0045,0.0,0.2161,0.2736,0.0812,0.0057,0.015,0.0002,0.0913,0.1944,0.068,0.007,0.0232,0.0005,0.0511,0.151,0.0584,0.0054,0.0258,0.0026,0.0309,0.1233,0.0433,0.003,0.0177,0.006,0.0134,0.0861,0.0231,0.0006,0.0069,0.0085,0.0039,0.0462,0.0045,0.0002,0.0008,0.0061,0.0005,0.0142,0.3308,0.0271,0.0967,0.0267,0.5183,1.0
Ashwood,0.0,0.0,0.0,0.0,0.0389,0.039,0.0001,0.0,0.0,0.0,0.0478,0.048,0.0232,0.0,0.0003,0.0,0.0597,0.0827,0.0565,0.0005,0.0022,0.0,0.0166,0.0782,0.0591,0.0018,0.0046,0.0001,0.0108,0.0794,0.0501,0.0011,0.0054,0.0004,0.0076,0.0677,0.0365,0.0006,0.0041,0.0005,0.004,0.0482,0.0235,0.0002,0.0012,0.0024,0.0007,0.0307,0.0092,0.0,0.0002,0.0037,0.0001,0.0143,0.2591,0.0084,0.0224,0.01,0.1882,0.4883,0.0,0.0,0.0,0.0,0.0368,0.0369,0.0002,0.0,0.0,0.0,0.0418,0.0422,0.0285,0.0003,0.0007,0.0,0.0432,0.0739,0.0636,0.0014,0.0037,0.0,0.0135,0.0845,0.0644,0.0027,0.0088,0.0002,0.0104,0.0872,0.0492,0.0015,0.0113,0.0018,0.0069,0.0734,0.034,0.0005,0.0076,0.006,0.0032,0.0536,0.0194,0.0002,0.0039,0.0145,0.0008,0.0393,0.0042,0.0,0.0005,0.014,0.0005,0.0206,0.2649,0.0105,0.039,0.0387,0.1588,0.5112,0.0,0.0,0.0,0.0,0.0763,0.0761,0.0007,0.0,0.0,0.0,0.0888,0.09,0.051,0.0004,0.0016,0.0,0.1019,0.1573,0.1218,0.0031,0.007,0.0,0.0301,0.1631,0.1226,0.0052,0.0136,0.0004,0.0218,0.1669,0.0995,0.0038,0.0171,0.0031,0.0149,0.1404,0.0707,0.0019,0.0125,0.0072,0.0075,0.1013,0.0429,0.001,0.0059,0.0177,0.0022,0.0709,0.0138,0.0,0.0011,0.0184,0.0006,0.0351,0.5232,0.02,0.0616,0.0478,0.3462,1.0
Bass,0.0,0.0,0.0,0.0,0.0298,0.0298,0.0002,0.0,0.0,0.0,0.0259,0.0266,0.0215,0.0003,0.0006,0.0,0.0455,0.0692,0.0409,0.0014,0.0037,0.0,0.0224,0.0694,0.0401,0.0024,0.0087,0.0003,0.0163,0.071,0.0506,0.0027,0.0134,0.0009,0.0129,0.082,0.0567,0.0037,0.0131,0.0033,0.0052,0.0845,0.0287,0.0006,0.0037,0.0048,0.001,0.0422,0.0048,0.0,0.0005,0.0037,0.0,0.0111,0.2468,0.0163,0.0466,0.0157,0.1603,0.4874,0.0,0.0,0.0,0.0,0.0297,0.0297,0.0006,0.0,0.0,0.0,0.0253,0.0271,0.0294,0.0009,0.001,0.0,0.0429,0.075,0.0426,0.0026,0.0043,0.0001,0.02,0.072,0.0412,0.0031,0.0115,0.0004,0.0155,0.0741,0.0554,0.0038,0.0173,0.0027,0.0095,0.0911,0.0518,0.0027,0.0152,0.0098,0.0035,0.0856,0.0211,0.0004,0.0049,0.0135,0.0006,0.0421,0.002,0.0,0.0006,0.0111,0.0001,0.0154,0.246,0.0181,0.0581,0.0404,0.1491,0.5116,0.0,0.0,0.0,0.0,0.0609,0.0609,0.001,0.0,0.0,0.0,0.0516,0.0534,0.0508,0.002,0.0019,0.0001,0.0883,0.1451,0.0841,0.0052,0.0097,0.0002,0.042,0.1416,0.0814,0.007,0.0204,0.0007,0.0334,0.1441,0.1059,0.0083,0.0306,0.0048,0.023,0.1744,0.1105,0.0074,0.0288,0.0132,0.0097,0.1693,0.05,0.0014,0.0098,0.0186,0.0022,0.0842,0.0086,0.0001,0.001,0.016,0.0001,0.0268,0.4921,0.0351,0.1056,0.0562,0.3102,1.0
Bayswater,0.0,0.0001,0.0,0.0,0.0329,0.033,0.0001,0.0,0.0,0.0,0.0345,0.035,0.0241,0.0002,0.0003,0.0,0.0589,0.0855,0.0569,0.0019,0.0036,0.0,0.0254,0.0897,0.0456,0.0031,0.0064,0.0002,0.0178,0.0753,0.0408,0.0022,0.0102,0.0006,0.0088,0.0655,0.0414,0.0019,0.0061,0.0016,0.0022,0.0564,0.023,0.0001,0.0025,0.0034,0.0005,0.0333,0.0049,0.0,0.0003,0.0032,0.0001,0.0107,0.2395,0.0133,0.0347,0.0122,0.1823,0.4824,0.0,0.0,0.0,0.0,0.0292,0.0295,0.0007,0.0,0.0,0.0,0.0328,0.0339,0.0334,0.0007,0.0008,0.0,0.0501,0.0872,0.0595,0.003,0.0049,0.0,0.0222,0.0932,0.0446,0.0045,0.0116,0.0002,0.0147,0.0771,0.0416,0.0038,0.0161,0.0026,0.0072,0.073,0.0394,0.0015,0.0137,0.01,0.0018,0.0682,0.0174,0.0002,0.0046,0.0136,0.0005,0.0373,0.002,0.0,0.0006,0.0118,0.0002,0.0171,0.2394,0.0173,0.0558,0.0417,0.1624,0.5166,0.0,0.0001,0.0,0.0,0.0612,0.0612,0.0011,0.0,0.0,0.0,0.0661,0.0682,0.058,0.0016,0.0015,0.0,0.1095,0.1729,0.117,0.0058,0.0102,0.0,0.0491,0.1821,0.0899,0.0078,0.0186,0.0004,0.0338,0.1534,0.0833,0.0069,0.027,0.0037,0.0168,0.1381,0.0809,0.004,0.0206,0.0121,0.0054,0.1249,0.0403,0.0004,0.0085,0.0171,0.0016,0.0714,0.0085,0.0001,0.0013,0.0164,0.0004,0.0282,0.4789,0.0313,0.0905,0.0527,0.3455,1.0
Bellarine,0.0,0.0,0.0,0.0,0.0315,0.0315,0.0001,0.0,0.0,0.0,0.0245,0.0251,0.0143,0.0002,0.0001,0.0,0.0361,0.0526,0.0407,0.0016,0.0029,0.0,0.0192,0.0641,0.0446,0.0021,0.0069,0.0002,0.0133,0.0693,0.0539,0.0026,0.0104,0.0007,0.008,0.0771,0.0698,0.002,0.0102,0.0021,0.0041,0.0905,0.0359,0.0005,0.0032,0.005,0.0004,0.0476,0.0074,0.0,0.0005,0.0036,0.0001,0.0126,0.2662,0.0143,0.0381,0.0155,0.1391,0.473,0.0,0.0,0.0,0.0,0.0299,0.0299,0.0001,0.0,0.0,0.0,0.0236,0.0242,0.0196,0.0005,0.0002,0.0,0.0338,0.0561,0.0437,0.0024,0.0045,0.0001,0.0188,0.0732,0.0468,0.004,0.0114,0.0006,0.0142,0.0794,0.0568,0.0032,0.0173,0.0032,0.0095,0.0941,0.0667,0.0016,0.0144,0.0095,0.0041,0.0994,0.028,0.0002,0.0056,0.0154,0.0012,0.052,0.0037,0.0,0.0003,0.0144,0.0002,0.0203,0.2685,0.0173,0.0587,0.045,0.1381,0.527,0.0,0.0,0.0,0.0,0.0599,0.06,0.0003,0.0,0.0,0.0,0.0486,0.0491,0.0343,0.001,0.0007,0.0,0.071,0.1082,0.0836,0.0046,0.0074,0.0002,0.0385,0.1368,0.0921,0.0082,0.0196,0.0007,0.0278,0.1492,0.1109,0.0075,0.029,0.0044,0.0187,0.1721,0.1353,0.0055,0.0253,0.0119,0.0086,0.1898,0.0639,0.0014,0.0099,0.021,0.002,0.0995,0.0119,0.0,0.0015,0.0184,0.0003,0.0348,0.5349,0.0321,0.0965,0.06,0.2777,1.0
Benambra,0.0,0.0,0.0,0.0,0.0396,0.0396,0.0001,0.0,0.0,0.0,0.031,0.0322,0.0209,0.0007,0.0005,0.0,0.0476,0.0708,0.0389,0.0019,0.004,0.0,0.0225,0.0699,0.0424,0.0028,0.0093,0.0001,0.0176,0.075,0.0498,0.0023,0.0141,0.0005,0.0111,0.0791,0.049,0.002,0.0107,0.0025,0.0044,0.0734,0.0254,0.0002,0.0035,0.0033,0.0017,0.036,0.0047,0.0001,0.0001,0.0025,0.0001,0.0101,0.2333,0.0155,0.0466,0.0134,0.1779,0.489,0.0,0.0,0.0,0.0,0.0359,0.0359,0.0006,0.0,0.0,0.0,0.0288,0.0304,0.0259,0.0008,0.001,0.0,0.0425,0.0723,0.0443,0.0036,0.0054,0.0001,0.0224,0.078,0.0454,0.0041,0.0138,0.0007,0.0143,0.0801,0.0516,0.0038,0.0158,0.0031,0.0088,0.0861,0.0455,0.002,0.0118,0.0089,0.0026,0.0742,0.0182,0.0001,0.0037,0.0135,0.0006,0.0388,0.0021,0.0,0.0003,0.0121,0.0004,0.0161,0.2342,0.02,0.0567,0.0429,0.1579,0.5118,0.0,0.0,0.0,0.0,0.0748,0.0749,0.0014,0.0,0.0,0.0,0.0603,0.0627,0.0468,0.0025,0.0024,0.0,0.091,0.1437,0.0845,0.0064,0.0113,0.0002,0.044,0.148,0.0884,0.0081,0.025,0.0011,0.0323,0.1565,0.1003,0.0077,0.0306,0.0043,0.0203,0.1651,0.0942,0.0053,0.0241,0.0129,0.0088,0.1483,0.0433,0.0008,0.0085,0.0182,0.0028,0.076,0.0081,0.0001,0.0007,0.0156,0.0004,0.027,0.4679,0.0352,0.1043,0.0562,0.3366,1.0
Bendigo East,0.0,0.0,0.0,0.0,0.0383,0.0382,0.0002,0.0,0.0,0.0,0.0365,0.0377,0.0217,0.0007,0.0002,0.0,0.0525,0.0759,0.0431,0.002,0.0026,0.0,0.0216,0.0715,0.0426,0.0029,0.0079,0.0,0.0151,0.0714,0.0459,0.0032,0.011,0.0007,0.0092,0.0724,0.0449,0.002,0.0077,0.0013,0.004,0.0647,0.0233,0.0004,0.0021,0.0038,0.0008,0.0329,0.0056,0.0,0.0002,0.0034,0.0001,0.0107,0.2285,0.015,0.0364,0.013,0.1821,0.4763,0.0,0.0,0.0,0.0,0.0365,0.0366,0.0005,0.0,0.0,0.0,0.0377,0.0387,0.0279,0.0013,0.0006,0.0,0.0513,0.0829,0.0455,0.0039,0.0057,0.0001,0.0235,0.0805,0.0437,0.0043,0.0129,0.0007,0.0148,0.0787,0.0479,0.0038,0.0171,0.0034,0.0076,0.0813,0.0405,0.002,0.0123,0.0087,0.0035,0.0687,0.0179,0.0004,0.0036,0.0126,0.0004,0.0368,0.0029,0.0001,0.0003,0.012,0.0001,0.0174,0.2293,0.0188,0.056,0.0405,0.1781,0.5236,0.0,0.0,0.0,0.0,0.0759,0.0759,0.0014,0.0001,0.0,0.0,0.0749,0.0767,0.05,0.0025,0.0017,0.0001,0.1031,0.1588,0.089,0.0066,0.01,0.0001,0.0447,0.1512,0.0861,0.0085,0.0216,0.0008,0.0314,0.1498,0.0937,0.0074,0.0275,0.005,0.0183,0.154,0.0856,0.004,0.0214,0.0113,0.0082,0.1343,0.0425,0.0012,0.007,0.0172,0.002,0.0706,0.0098,0.0002,0.0007,0.0164,0.0003,0.029,0.4568,0.0351,0.0928,0.0546,0.3601,1.0
Bendigo West,0.0,0.0,0.0,0.0,0.0315,0.0315,0.0002,0.0001,0.0,0.0,0.0309,0.0318,0.0175,0.0008,0.0005,0.0,0.0517,0.0726,0.0352,0.0021,0.0027,0.0,0.027,0.0714,0.0385,0.0036,0.0082,0.0002,0.022,0.0721,0.0418,0.0038,0.0136,0.0006,0.0146,0.0748,0.0446,0.003,0.0127,0.0027,0.0081,0.0738,0.0263,0.0004,0.0045,0.0035,0.0015,0.0405,0.0069,0.0,0.0003,0.0042,0.0006,0.0141,0.2118,0.0193,0.0453,0.0141,0.19,0.4809,0.0,0.0,0.0,0.0,0.0312,0.0314,0.0005,0.0001,0.0,0.0,0.0293,0.0303,0.0215,0.0011,0.0007,0.0,0.0481,0.0739,0.0377,0.0033,0.0041,0.0,0.0263,0.0729,0.0376,0.0039,0.0122,0.0005,0.0215,0.0772,0.044,0.0048,0.0192,0.0031,0.013,0.0852,0.0421,0.0026,0.0164,0.0092,0.006,0.0792,0.0212,0.0004,0.0069,0.0137,0.0018,0.0458,0.0032,0.0,0.001,0.0144,0.0008,0.0219,0.2092,0.0208,0.0635,0.0468,0.1786,0.5179,0.0,0.0,0.0,0.0,0.0631,0.0631,0.0017,0.0002,0.0,0.0,0.0593,0.0613,0.041,0.0028,0.0016,0.0,0.1,0.1455,0.0725,0.0069,0.0086,0.0001,0.0545,0.1432,0.0748,0.0088,0.0196,0.0011,0.0422,0.1498,0.085,0.0088,0.0321,0.0047,0.0279,0.1607,0.0862,0.0068,0.0311,0.0129,0.0145,0.1521,0.048,0.0014,0.0127,0.0192,0.0043,0.0869,0.0111,0.0,0.0017,0.0196,0.0015,0.0357,0.4206,0.0396,0.1091,0.0615,0.3685,1.0
Bentleigh,0.0,0.0,0.0,0.0,0.0408,0.0411,0.0,0.0,0.0,0.0,0.0339,0.0342,0.0193,0.0,0.0001,0.0,0.0513,0.0713,0.062,0.0014,0.0027,0.0,0.0203,0.0883,0.0639,0.003,0.0062,0.0003,0.0148,0.0905,0.0463,0.0017,0.0077,0.0002,0.0103,0.0674,0.0323,0.0008,0.0052,0.0008,0.0038,0.0457,0.0188,0.0002,0.0015,0.0026,0.0004,0.0266,0.0073,0.0,0.0001,0.0035,0.0001,0.0131,0.2503,0.011,0.0283,0.0099,0.177,0.4781,0.0,0.0,0.0,0.0,0.0372,0.0372,0.0001,0.0,0.0,0.0,0.0312,0.0318,0.0268,0.0003,0.0006,0.0,0.043,0.0707,0.0692,0.0022,0.0055,0.0,0.02,0.0992,0.0658,0.0045,0.012,0.0003,0.0153,0.0983,0.0432,0.003,0.0123,0.0018,0.0086,0.071,0.0298,0.0011,0.0098,0.0072,0.0041,0.0526,0.0158,0.0001,0.0042,0.0136,0.0015,0.0367,0.0037,0.0,0.0009,0.0175,0.0004,0.0252,0.2543,0.016,0.048,0.0418,0.163,0.5234,0.0,0.0,0.0,0.0,0.0781,0.0784,0.0005,0.0,0.0001,0.0,0.0648,0.0659,0.0457,0.0007,0.0013,0.0,0.0923,0.1416,0.131,0.0046,0.0093,0.0,0.0387,0.1857,0.1286,0.0085,0.0193,0.0006,0.0299,0.1883,0.0882,0.0058,0.0209,0.003,0.0194,0.1391,0.0627,0.0022,0.0153,0.0083,0.0095,0.0999,0.0347,0.0007,0.0067,0.0161,0.0024,0.063,0.0119,0.0001,0.0013,0.0223,0.0005,0.0377,0.5045,0.0269,0.0775,0.0531,0.3392,1.0
Berwick,0.0,0.0,0.0,0.0,0.0468,0.0469,0.0003,0.0,0.0,0.0,0.0412,0.0416,0.033,0.0004,0.0004,0.0,0.0456,0.0811,0.0871,0.0014,0.003,0.0,0.0142,0.1068,0.0677,0.002,0.007,0.0001,0.0068,0.0871,0.0465,0.001,0.0057,0.0002,0.0029,0.0599,0.0288,0.0005,0.0028,0.0005,0.0005,0.0362,0.0155,0.0001,0.0009,0.0009,0.0002,0.0197,0.0036,0.0,0.0001,0.0015,0.0,0.0059,0.2862,0.0098,0.0233,0.0065,0.1608,0.4872,0.0,0.0,0.0,0.0,0.0418,0.0419,0.0011,0.0,0.0,0.0,0.0354,0.0373,0.0488,0.0009,0.0008,0.0,0.0385,0.0905,0.0882,0.0027,0.0059,0.0001,0.0131,0.1133,0.0651,0.0036,0.0099,0.0002,0.0072,0.088,0.0417,0.002,0.0098,0.002,0.0029,0.0611,0.0271,0.0007,0.0058,0.0059,0.0008,0.0435,0.0114,0.0002,0.0022,0.0086,0.0005,0.0256,0.0012,0.0,0.0002,0.0057,0.0002,0.0086,0.2869,0.0151,0.0389,0.028,0.1426,0.5128,0.0,0.0,0.0,0.0,0.0885,0.0887,0.0018,0.0,0.0,0.0,0.0772,0.0801,0.0828,0.002,0.0019,0.0,0.084,0.1732,0.1747,0.006,0.0099,0.0001,0.0278,0.2196,0.134,0.0071,0.0172,0.0004,0.015,0.1751,0.0885,0.0038,0.0159,0.0035,0.006,0.1209,0.0569,0.0018,0.0095,0.0072,0.0019,0.08,0.0271,0.0006,0.0037,0.0111,0.0009,0.0468,0.0059,0.0,0.0004,0.0078,0.0003,0.0149,0.574,0.0256,0.062,0.0356,0.3035,1.0
Box Hill,0.0,0.0,0.0,0.0,0.0356,0.0356,0.0007,0.0,0.0,0.0,0.051,0.0519,0.0258,0.0003,0.0007,0.0,0.0645,0.0926,0.0519,0.0012,0.0033,0.0,0.0176,0.0763,0.0535,0.002,0.0043,0.0002,0.0121,0.0725,0.0434,0.0013,0.0067,0.0002,0.0074,0.0618,0.033,0.0008,0.0042,0.0008,0.0037,0.0454,0.0198,0.0001,0.0015,0.002,0.0006,0.028,0.0074,0.0001,0.0002,0.0034,0.0003,0.0135,0.236,0.0096,0.0246,0.0098,0.1962,0.4764,0.0,0.0,0.0,0.0,0.0366,0.0366,0.0008,0.0001,0.0001,0.0,0.0467,0.0482,0.0312,0.001,0.0018,0.0,0.0553,0.091,0.0555,0.0018,0.0053,0.0,0.0153,0.0811,0.0554,0.0032,0.0091,0.0004,0.0116,0.0817,0.0427,0.003,0.0116,0.0021,0.0077,0.068,0.0315,0.0004,0.0091,0.0057,0.0048,0.054,0.0163,0.0003,0.0038,0.0126,0.0015,0.0369,0.0035,0.0,0.0008,0.0157,0.0011,0.0228,0.2408,0.0128,0.0456,0.0391,0.184,0.523,0.0,0.0,0.0,0.0,0.0723,0.0722,0.0018,0.0001,0.0001,0.0,0.0977,0.1005,0.0571,0.0013,0.0031,0.0001,0.1203,0.1835,0.1077,0.004,0.0092,0.0,0.0336,0.1566,0.1088,0.0058,0.0143,0.0007,0.0235,0.1556,0.0859,0.0048,0.0192,0.0031,0.0171,0.1305,0.0643,0.0017,0.0136,0.0082,0.01,0.0997,0.0374,0.0004,0.0068,0.0165,0.0028,0.0642,0.0119,0.0002,0.0013,0.0205,0.0015,0.0372,0.477,0.0232,0.0701,0.05,0.3797,1.0
Brighton,0.0,0.0,0.0,0.0,0.0391,0.0392,0.0001,0.0,0.0,0.0,0.031,0.0312,0.0097,0.0003,0.0002,0.0,0.05,0.0614,0.0411,0.0012,0.0029,0.0,0.0249,0.0714,0.0587,0.0027,0.0084,0.0001,0.0162,0.0873,0.0532,0.0014,0.009,0.0002,0.0106,0.0762,0.0384,0.0011,0.0077,0.0009,0.0048,0.0559,0.023,0.0002,0.0023,0.0022,0.0012,0.0328,0.0059,0.0,0.0002,0.0033,0.0005,0.0128,0.2328,0.0106,0.0337,0.0098,0.1816,0.4679,0.0,0.0,0.0,0.0,0.0353,0.0353,0.0,0.0,0.0,0.0,0.029,0.0288,0.0143,0.0005,0.0003,0.0,0.0529,0.0696,0.0487,0.0014,0.0049,0.0001,0.0264,0.0839,0.0635,0.0039,0.0125,0.0004,0.0185,0.1007,0.0513,0.0023,0.0143,0.0019,0.0118,0.0837,0.0361,0.0012,0.0127,0.0067,0.005,0.0635,0.0183,0.0003,0.0055,0.0129,0.0015,0.0413,0.0031,0.0001,0.0009,0.0161,0.0009,0.0234,0.2365,0.0143,0.0536,0.0416,0.1857,0.5319,0.0,0.0,0.0,0.0,0.0733,0.0733,0.0,0.0,0.0,0.0,0.0617,0.0622,0.024,0.0008,0.0006,0.0,0.1033,0.1312,0.0893,0.0038,0.0084,0.0001,0.0522,0.1548,0.123,0.0078,0.0201,0.0007,0.0356,0.1888,0.1037,0.0052,0.0236,0.0032,0.0232,0.1591,0.0756,0.0031,0.0211,0.0075,0.0102,0.1191,0.0414,0.0005,0.0087,0.0166,0.0034,0.0741,0.0103,0.0001,0.0017,0.0195,0.0017,0.0359,0.4682,0.0247,0.0867,0.0514,0.367,1.0
