district,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp,Tot_P_Tot_resp_total
Albert Park,645.0,2337.0,1973.0,9933.0,92.0,14981.0,20.0,18.0,0.0,233.0,3.0,274.0,5808.0,53.0,127.0,117.0,9.0,6114.0,278.0,30.0,11.0,66.0,0.0,386.0,515.0,96.0,61.0,261.0,3.0,936.0,6174.0,2189.0,1656.0,11617.0,87.0,21723.0,671.0,5.0,61.0,13.0,0.0,750.0,652.0,34.0,27.0,89.0,0.0,802.0,1019.0,184.0,135.0,1249.0,7.0,2595.0,2053.0,245.0,123.0,751.0,0.0,3172.0,168.0,15.0,0.0,15.0,0.0,198.0,2963.0,31.0,3.0,15.0,0.0,3012.0,2352.0,668.0,388.0,5601.0,24.0,9033.0,1995.0,490.0,202.0,1269.0,4.0,3960.0,574.0,3.0,16.0,3.0,3.0,599.0,128.0,4.0,4.0,53.0,0.0,189.0,158.0,21.0,7.0,33.0,0.0,219.0,203.0,41.0,24.0,119.0,0.0,387.0,172.0,9.0,7.0,0.0,0.0,188.0,374.0,58.0,35.0,16.0,0.0,483.0,609.0,63.0,39.0,96.0,0.0,808.0,473.0,12.0,3.0,24.0,5.0,517.0,22.0,10.0,0.0,0.0,0.0,32.0,1714.0,571.0,418.0,4056.0,0.0,6759.0,221.0,18.0,0.0,29.0,0.0,268.0,251.0,13.0,12.0,0.0,0.0,277.0,538.0,19.0,5.0,23.0,0.0,585.0,198.0,23.0,10.0,14.0,0.0,245.0,686.0,0.0,11.0,17.0,0.0,714.0,181.0,34.0,19.0,147.0,0.0,381.0,9776.0,729.0,728.0,920.0,45.0,12199.0,406.0,15.0,13.0,88.0,4330.0,4852.0,35581.0,5051.0,3880.0,24787.0,4763.0,74062.0,74062.0
Ashwood,709.0,2232.0,1851.0,11297.0,67.0,16156.0,0.0,3.0,14.0,131.0,0.0,148.0,16992.0,183.0,364.0,185.0,72.0,17795.0,200.0,34.0,16.0,95.0,0.0,345.0,419.0,97.0,35.0,198.0,0.0,750.0,3926.0,1913.0,1210.0,11250.0,94.0,18394.0,517.0,11.0,56.0,0.0,0.0,585.0,234.0,19.0,9.0,89.0,0.0,351.0,695.0,166.0,119.0,1065.0,6.0,2051.0,2643.0,288.0,112.0,1054.0,5.0,4102.0,202.0,12.0,16.0,71.0,0.0,301.0,4479.0,74.0,62.0,28.0,0.0,4643.0,929.0,469.0,277.0,4684.0,10.0,6368.0,1569.0,348.0,150.0,1424.0,4.0,3495.0,901.0,4.0,39.0,0.0,0.0,944.0,84.0,18.0,6.0,38.0,0.0,146.0,66.0,7.0,6.0,40.0,0.0,119.0,80.0,30.0,12.0,102.0,0.0,225.0,94.0,9.0,20.0,3.0,0.0,126.0,161.0,41.0,36.0,13.0,0.0,251.0,528.0,69.0,40.0,135.0,0.0,771.0,261.0,6.0,6.0,17.0,3.0,293.0,11.0,0.0,0.0,0.0,0.0,11.0,939.0,440.0,297.0,3920.0,3.0,5599.0,127.0,11.0,6.0,28.0,0.0,172.0,249.0,51.0,16.0,16.0,0.0,332.0,132.0,7.0,8.0,24.0,0.0,171.0,1473.0,65.0,46.0,25.0,8.0,1618.0,1141.0,23.0,55.0,35.0,0.0,1254.0,71.0,0.0,3.0,81.0,0.0,155.0,8924.0,772.0,637.0,820.0,29.0,11181.0,398.0,12.0,28.0,67.0,2455.0,2960.0,44266.0,4616.0,3566.0,25138.0,2942.0,80529.0,80529.0
Bass,568.0,2617.0,1911.0,19759.0,317.0,25172.0,0.0,0.0,7.0,635.0,0.0,642.0,398.0,3.0,18.0,94.0,0.0,513.0,85.0,6.0,0.0,49.0,0.0,140.0,822.0,231.0,163.0,623.0,0.0,1838.0,4886.0,2318.0,1855.0,17278.0,327.0,26664.0,440.0,14.0,33.0,7.0,0.0,494.0,129.0,9.0,7.0,61.0,3.0,209.0,626.0,180.0,97.0,1335.0,4.0,2243.0,274.0,26.0,24.0,133.0,0.0,457.0,70.0,6.0,7.0,56.0,0.0,139.0,1251.0,33.0,4.0,35.0,0.0,1323.0,961.0,469.0,304.0,5236.0,42.0,7011.0,1063.0,292.0,129.0,1494.0,15.0,2993.0,42.0,0.0,0.0,0.0,0.0,42.0,24.0,6.0,7.0,10.0,0.0,47.0,19.0,0.0,0.0,31.0,0.0,50.0,154.0,42.0,8.0,108.0,0.0,312.0,126.0,24.0,23.0,9.0,0.0,182.0,160.0,106.0,39.0,38.0,0.0,343.0,189.0,26.0,12.0,55.0,0.0,282.0,40.0,6.0,3.0,6.0,0.0,55.0,89.0,10.0,2.0,0.0,0.0,101.0,1171.0,560.0,410.0,4802.0,47.0,6989.0,73.0,8.0,0.0,27.0,0.0,108.0,90.0,23.0,21.0,0.0,0.0,134.0,84.0,9.0,8.0,6.0,0.0,107.0,236.0,11.0,10.0,21.0,0.0,278.0,69.0,3.0,4.0,0.0,0.0,76.0,147.0,10.0,8.0,143.0,0.0,308.0,3515.0,425.0,274.0,697.0,10.0,4920.0,172.0,11.0,12.0,466.0,3640.0,4302.0,15329.0,4696.0,3405.0,37940.0,4459.0,65830.0,65830.0
Bayswater,741.0,2606.0,1987.0,15600.0,116.0,21050.0,3.0,33.0,15.0,477.0,0.0,528.0,8820.0,74.0,178.0,152.0,6.0,9229.0,166.0,18.0,11.0,42.0,0.0,237.0,779.0,196.0,139.0,562.0,0.0,1675.0,4568.0,2355.0,1790.0,14103.0,109.0,22924.0,961.0,26.0,79.0,10.0,0.0,1076.0,127.0,11.0,0.0,79.0,0.0,217.0,1074.0,277.0,120.0,1401.0,34.0,2907.0,529.0,85.0,65.0,366.0,4.0,1049.0,245.0,17.0,27.0,36.0,4.0,329.0,2824.0,20.0,31.0,28.0,0.0,2903.0,962.0,401.0,299.0,4430.0,0.0,6092.0,1055.0,332.0,129.0,1251.0,10.0,2777.0,457.0,0.0,8.0,3.0,0.0,468.0,66.0,11.0,10.0,28.0,0.0,115.0,27.0,3.0,3.0,18.0,0.0,51.0,74.0,31.0,31.0,103.0,0.0,239.0,148.0,17.0,17.0,12.0,0.0,194.0,173.0,69.0,80.0,41.0,0.0,363.0,388.0,28.0,16.0,99.0,3.0,534.0,146.0,0.0,4.0,3.0,0.0,153.0,72.0,0.0,17.0,0.0,0.0,89.0,1035.0,541.0,414.0,4132.0,6.0,6128.0,150.0,17.0,11.0,3.0,0.0,181.0,241.0,36.0,51.0,17.0,0.0,345.0,132.0,3.0,7.0,18.0,0.0,160.0,882.0,28.0,35.0,29.0,0.0,974.0,612.0,18.0,25.0,3.0,0.0,658.0,109.0,9.0,17.0,144.0,0.0,279.0,6715.0,610.0,542.0,829.0,16.0,8712.0,321.0,15.0,0.0,244.0,2654.0,3234.0,30392.0,4884.0,3776.0,30782.0,3076.0,72910.0,72910.0
Bellarine,360.0,2752.0,1830.0,21493.0,304.0,26739.0,0.0,13.0,18.0,517.0,0.0,548.0,294.0,14.0,45.0,117.0,0.0,470.0,230.0,27.0,7.0,72.0,0.0,336.0,800.0,263.0,122.0,574.0,4.0,1764.0,4737.0,2469.0,1789.0,21216.0,262.0,30474.0,190.0,14.0,18.0,8.0,3.0,233.0,72.0,14.0,13.0,148.0,0.0,247.0,657.0,179.0,115.0,2054.0,8.0,3013.0,438.0,40.0,23.0,178.0,0.0,679.0,53.0,12.0,5.0,33.0,0.0,103.0,261.0,15.0,4.0,11.0,0.0,291.0,990.0,573.0,363.0,8136.0,51.0,10113.0,999.0,290.0,77.0,1323.0,17.0,2707.0,6.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,27.0,0.0,33.0,30.0,7.0,0.0,27.0,0.0,64.0,512.0,59.0,14.0,210.0,3.0,798.0,74.0,16.0,26.0,30.0,0.0,146.0,120.0,117.0,39.0,31.0,0.0,307.0,281.0,34.0,15.0,171.0,0.0,501.0,39.0,9.0,3.0,22.0,0.0,73.0,6.0,9.0,3.0,3.0,0.0,21.0,1176.0,727.0,456.0,6837.0,40.0,9236.0,29.0,0.0,4.0,4.0,0.0,37.0,124.0,25.0,15.0,9.0,0.0,173.0,67.0,10.0,5.0,30.0,0.0,112.0,16.0,15.0,12.0,4.0,0.0,47.0,20.0,4.0,8.0,0.0,0.0,32.0,159.0,28.0,13.0,224.0,0.0,424.0,1853.0,497.0,323.0,855.0,0.0,3529.0,73.0,17.0,25.0,419.0,2841.0,3375.0,12416.0,4994.0,3370.0,45069.0,3593.0,69442.0,69442.0
Benambra,256.0,2021.0,1475.0,24091.0,221.0,28064.0,4.0,34.0,17.0,1664.0,3.0,1722.0,240.0,3.0,3.0,107.0,0.0,353.0,176.0,8.0,13.0,71.0,0.0,268.0,520.0,165.0,72.0,460.0,0.0,1216.0,2618.0,1881.0,1422.0,21251.0,212.0,27384.0,339.0,7.0,58.0,12.0,0.0,416.0,65.0,9.0,3.0,126.0,0.0,203.0,832.0,270.0,169.0,3042.0,11.0,4323.0,32.0,0.0,4.0,70.0,0.0,106.0,48.0,6.0,3.0,40.0,0.0,97.0,496.0,8.0,8.0,6.0,0.0,518.0,455.0,379.0,224.0,7097.0,22.0,8177.0,317.0,173.0,50.0,1183.0,0.0,1723.0,31.0,0.0,0.0,0.0,0.0,31.0,12.0,3.0,0.0,29.0,0.0,44.0,6.0,0.0,0.0,10.0,0.0,16.0,22.0,10.0,16.0,106.0,0.0,154.0,49.0,6.0,14.0,13.0,0.0,82.0,75.0,51.0,53.0,42.0,0.0,221.0,132.0,10.0,3.0,116.0,0.0,261.0,7.0,0.0,0.0,8.0,0.0,15.0,6.0,3.0,0.0,3.0,0.0,12.0,730.0,448.0,339.0,5782.0,14.0,7312.0,63.0,4.0,8.0,22.0,0.0,97.0,50.0,8.0,7.0,4.0,0.0,69.0,31.0,0.0,5.0,21.0,0.0,57.0,32.0,0.0,6.0,9.0,0.0,47.0,171.0,0.0,12.0,3.0,0.0,186.0,82.0,4.0,0.0,158.0,0.0,244.0,2262.0,315.0,247.0,855.0,6.0,3685.0,96.0,22.0,5.0,580.0,3454.0,4157.0,8968.0,3696.0,2698.0,47397.0,4039.0,66798.0,66798.0
Bendigo East,214.0,1824.0,1219.0,25956.0,234.0,29447.0,0.0,41.0,7.0,1350.0,15.0,1413.0,546.0,25.0,22.0,326.0,0.0,919.0,27.0,4.0,0.0,34.0,0.0,65.0,273.0,93.0,64.0,453.0,0.0,883.0,2162.0,1829.0,1251.0,25152.0,228.0,30621.0,374.0,3.0,46.0,23.0,0.0,446.0,20.0,11.0,19.0,129.0,0.0,179.0,264.0,121.0,51.0,2530.0,4.0,2971.0,52.0,6.0,3.0,94.0,0.0,155.0,18.0,0.0,4.0,18.0,0.0,40.0,746.0,16.0,6.0,12.0,0.0,780.0,468.0,402.0,227.0,8982.0,41.0,10120.0,285.0,177.0,36.0,1749.0,3.0,2249.0,44.0,0.0,0.0,5.0,0.0,49.0,8.0,5.0,0.0,18.0,0.0,31.0,11.0,0.0,0.0,0.0,0.0,11.0,28.0,34.0,1.0,95.0,0.0,157.0,49.0,3.0,5.0,23.0,0.0,80.0,78.0,46.0,36.0,30.0,0.0,190.0,42.0,3.0,3.0,95.0,0.0,143.0,21.0,0.0,0.0,38.0,0.0,59.0,2.0,7.0,0.0,0.0,0.0,9.0,585.0,384.0,259.0,7143.0,20.0,8391.0,9.0,5.0,0.0,4.0,0.0,18.0,98.0,13.0,3.0,4.0,0.0,118.0,36.0,0.0,8.0,27.0,0.0,71.0,96.0,13.0,3.0,0.0,0.0,112.0,54.0,3.0,0.0,4.0,0.0,61.0,25.0,30.0,6.0,173.0,0.0,235.0,2815.0,330.0,178.0,829.0,22.0,4175.0,110.0,20.0,7.0,667.0,3319.0,4123.0,8614.0,3433.0,2344.0,53483.0,3975.0,71849.0,71849.0
Bendigo West,189.0,1836.0,1161.0,21369.0,281.0,24836.0,0.0,17.0,5.0,1130.0,3.0,1155.0,317.0,24.0,22.0,228.0,6.0,597.0,29.0,4.0,0.0,34.0,0.0,67.0,331.0,110.0,51.0,340.0,0.0,832.0,2474.0,1803.0,1213.0,21542.0,278.0,27308.0,329.0,0.0,49.0,12.0,0.0,390.0,50.0,17.0,14.0,85.0,0.0,166.0,388.0,132.0,106.0,2122.0,10.0,2758.0,96.0,11.0,0.0,67.0,7.0,182.0,36.0,20.0,4.0,23.0,0.0,83.0,554.0,16.0,0.0,21.0,0.0,591.0,496.0,425.0,216.0,7367.0,40.0,8545.0,208.0,99.0,47.0,1272.0,4.0,1630.0,16.0,4.0,0.0,0.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,12.0,0.0,18.0,69.0,18.0,2.0,67.0,0.0,157.0,19.0,9.0,12.0,11.0,0.0,51.0,107.0,42.0,27.0,27.0,0.0,203.0,77.0,10.0,0.0,75.0,0.0,162.0,27.0,0.0,5.0,6.0,0.0,38.0,6.0,9.0,3.0,4.0,0.0,22.0,630.0,498.0,302.0,6272.0,15.0,7718.0,15.0,0.0,9.0,20.0,0.0,44.0,47.0,12.0,9.0,5.0,0.0,73.0,22.0,0.0,4.0,14.0,0.0,40.0,38.0,0.0,4.0,6.0,0.0,48.0,76.0,0.0,8.0,5.0,0.0,89.0,82.0,19.0,11.0,228.0,0.0,339.0,2475.0,324.0,228.0,795.0,12.0,3834.0,88.0,4.0,3.0,517.0,4103.0,4715.0,8157.0,3516.0,2286.0,44680.0,4871.0,63509.0,63509.0
Bentleigh,1013.0,2792.0,2300.0,11997.0,65.0,18167.0,0.0,8.0,6.0,164.0,0.0,178.0,7349.0,98.0,239.0,127.0,11.0,7824.0,344.0,47.0,30.0,95.0,0.0,516.0,456.0,121.0,67.0,219.0,0.0,863.0,4759.0,2061.0,1629.0,10923.0,58.0,19431.0,450.0,12.0,59.0,7.0,0.0,528.0,374.0,16.0,24.0,88.0,0.0,502.0,808.0,186.0,147.0,1048.0,0.0,2189.0,3294.0,468.0,211.0,1374.0,15.0,5362.0,226.0,22.0,25.0,67.0,3.0,343.0,3230.0,68.0,48.0,51.0,0.0,3397.0,1480.0,495.0,317.0,4834.0,6.0,7131.0,2024.0,474.0,235.0,1680.0,8.0,4421.0,508.0,4.0,17.0,3.0,0.0,532.0,206.0,38.0,15.0,83.0,0.0,342.0,61.0,7.0,6.0,25.0,0.0,99.0,118.0,12.0,12.0,117.0,0.0,259.0,103.0,8.0,6.0,0.0,0.0,117.0,262.0,123.0,47.0,16.0,0.0,448.0,1090.0,174.0,120.0,309.0,0.0,1693.0,1804.0,62.0,80.0,51.0,0.0,1997.0,18.0,7.0,0.0,0.0,0.0,25.0,1172.0,433.0,341.0,3404.0,7.0,5358.0,333.0,37.0,9.0,23.0,0.0,402.0,798.0,49.0,41.0,6.0,0.0,894.0,236.0,15.0,28.0,25.0,0.0,304.0,404.0,46.0,42.0,50.0,0.0,542.0,790.0,20.0,21.0,17.0,0.0,848.0,92.0,4.0,15.0,104.0,0.0,215.0,9528.0,1082.0,907.0,1042.0,18.0,12577.0,423.0,23.0,34.0,149.0,2182.0,2811.0,37878.0,5626.0,4462.0,26143.0,2607.0,76715.0,76715.0
Berwick,1560.0,2641.0,1886.0,13687.0,75.0,19849.0,19.0,19.0,3.0,274.0,3.0,318.0,3454.0,40.0,94.0,89.0,9.0,3686.0,342.0,74.0,24.0,106.0,0.0,546.0,817.0,207.0,120.0,626.0,4.0,1774.0,5360.0,2158.0,1591.0,11610.0,80.0,20798.0,1450.0,35.0,69.0,13.0,0.0,1567.0,223.0,14.0,13.0,72.0,0.0,322.0,640.0,184.0,91.0,1103.0,3.0,2021.0,334.0,133.0,43.0,317.0,3.0,829.0,309.0,22.0,16.0,69.0,5.0,421.0,8329.0,91.0,55.0,55.0,0.0,8530.0,1110.0,397.0,271.0,3534.0,5.0,5317.0,1080.0,405.0,178.0,1394.0,12.0,3069.0,356.0,0.0,0.0,0.0,0.0,356.0,156.0,36.0,14.0,33.0,0.0,239.0,46.0,8.0,0.0,20.0,0.0,74.0,144.0,44.0,28.0,152.0,0.0,367.0,275.0,31.0,29.0,4.0,0.0,340.0,344.0,101.0,31.0,41.0,0.0,517.0,389.0,34.0,50.0,77.0,0.0,550.0,184.0,4.0,0.0,30.0,0.0,218.0,467.0,34.0,14.0,0.0,3.0,518.0,1285.0,489.0,295.0,3137.0,4.0,5210.0,248.0,41.0,13.0,55.0,0.0,357.0,467.0,65.0,40.0,19.0,0.0,592.0,226.0,13.0,3.0,17.0,4.0,263.0,2643.0,110.0,33.0,49.0,4.0,2839.0,277.0,7.0,10.0,11.0,0.0,305.0,106.0,27.0,14.0,92.0,0.0,239.0,16057.0,771.0,581.0,753.0,75.0,18236.0,614.0,36.0,14.0,203.0,2535.0,3402.0,42948.0,5162.0,3582.0,26324.0,2975.0,80992.0,80992.0
Box Hill,686.0,2251.0,1873.0,12252.0,111.0,17172.0,4.0,6.0,3.0,183.0,0.0,196.0,23274.0,193.0,488.0,237.0,68.0,24261.0,159.0,21.0,6.0,71.0,0.0,257.0,362.0,110.0,46.0,288.0,0.0,805.0,3991.0,2066.0,1459.0,12771.0,83.0,20370.0,750.0,14.0,60.0,10.0,0.0,834.0,124.0,38.0,25.0,77.0,0.0,263.0,619.0,135.0,61.0,1262.0,4.0,2082.0,1567.0,212.0,99.0,753.0,6.0,2637.0,111.0,10.0,25.0,55.0,0.0,201.0,3493.0,59.0,33.0,12.0,0.0,3597.0,824.0,485.0,341.0,5425.0,18.0,7093.0,1578.0,310.0,172.0,1493.0,6.0,3560.0,743.0,0.0,17.0,0.0,0.0,760.0,87.0,18.0,11.0,38.0,0.0,154.0,92.0,0.0,3.0,52.0,0.0,147.0,82.0,41.0,0.0,130.0,0.0,253.0,49.0,11.0,11.0,0.0,0.0,71.0,203.0,72.0,36.0,13.0,0.0,324.0,273.0,27.0,22.0,103.0,0.0,425.0,152.0,8.0,7.0,25.0,0.0,192.0,29.0,7.0,7.0,0.0,0.0,43.0,964.0,505.0,384.0,4477.0,12.0,6343.0,104.0,11.0,0.0,11.0,0.0,126.0,140.0,25.0,37.0,20.0,0.0,222.0,121.0,9.0,6.0,20.0,0.0,156.0,620.0,27.0,23.0,26.0,0.0,696.0,1216.0,28.0,39.0,21.0,0.0,1303.0,93.0,22.0,20.0,116.0,0.0,251.0,7489.0,593.0,675.0,882.0,21.0,9660.0,393.0,9.0,4.0,119.0,2915.0,3440.0,45579.0,4610.0,3758.0,27319.0,3374.0,84641.0,84641.0
Brighton,559.0,2737.0,2266.0,12386.0,122.0,18070.0,10.0,0.0,7.0,111.0,0.0,128.0,2985.0,74.0,114.0,127.0,15.0,3314.0,242.0,32.0,16.0,107.0,0.0,397.0,452.0,129.0,53.0,254.0,0.0,887.0,5666.0,2395.0,1888.0,13557.0,90.0,23596.0,168.0,18.0,36.0,3.0,0.0,225.0,367.0,56.0,20.0,159.0,0.0,602.0,1024.0,254.0,161.0,1270.0,11.0,2720.0,1389.0,217.0,157.0,853.0,0.0,2616.0,263.0,14.0,13.0,36.0,4.0,330.0,819.0,13.0,43.0,29.0,0.0,904.0,1802.0,620.0,423.0,5925.0,20.0,8790.0,1659.0,442.0,252.0,1630.0,16.0,3998.0,112.0,6.0,1.0,4.0,0.0,123.0,143.0,4.0,17.0,58.0,3.0,225.0,84.0,22.0,6.0,24.0,0.0,136.0,98.0,17.0,19.0,44.0,0.0,178.0,103.0,9.0,4.0,12.0,0.0,128.0,339.0,34.0,64.0,7.0,0.0,444.0,911.0,128.0,78.0,286.0,0.0,1403.0,775.0,44.0,54.0,56.0,9.0,938.0,6.0,3.0,4.0,0.0,0.0,13.0,1472.0,606.0,487.0,4615.0,0.0,7180.0,169.0,13.0,7.0,33.0,0.0,222.0,478.0,61.0,39.0,17.0,0.0,595.0,269.0,13.0,17.0,53.0,0.0,352.0,184.0,25.0,17.0,29.0,0.0,255.0,234.0,8.0,16.0,0.0,0.0,258.0,203.0,33.0,1.0,104.0,0.0,341.0,5713.0,874.0,856.0,1061.0,17.0,8522.0,190.0,21.0,20.0,143.0,2599.0,2974.0,23946.0,5469.0,4393.0,29105.0,3014.0,65927.0,65927.0
Broadmeadows,2526.0,1780.0,1128.0,6944.0,159.0,12537.0,3.0,43.0,7.0,376.0,0.0,429.0,1629.0,15.0,23.0,26.0,0.0,1693.0,428.0,37.0,7.0,58.0,14.0,544.0,115.0,36.0,25.0,67.0,0.0,243.0,2960.0,1218.0,717.0,6253.0,172.0,11320.0,1048.0,17.0,60.0,6.0,3.0,1134.0,69.0,13.0,3.0,19.0,7.0,111.0,375.0,54.0,51.0,527.0,4.0,1011.0,1607.0,191.0,86.0,451.0,21.0,2357.0,47.0,0.0,0.0,10.0,0.0,57.0,3523.0,23.0,14.0,8.0,0.0,3568.0,501.0,207.0,124.0,2556.0,23.0,3411.0,4986.0,723.0,337.0,2010.0,35.0,8091.0,84.0,0.0,4.0,0.0,0.0,88.0,4220.0,1090.0,435.0,536.0,49.0,6329.0,144.0,14.0,4.0,37.0,0.0,199.0,887.0,77.0,49.0,287.0,3.0,1303.0,118.0,7.0,22.0,22.0,0.0,169.0,152.0,13.0,30.0,6.0,0.0,201.0,341.0,22.0,14.0,66.0,0.0,443.0,71.0,0.0,0.0,0.0,0.0,71.0,468.0,33.0,3.0,3.0,0.0,507.0,522.0,217.0,78.0,1694.0,6.0,2517.0,209.0,4.0,12.0,7.0,0.0,232.0,35.0,7.0,0.0,0.0,0.0,42.0,245.0,8.0,3.0,11.0,0.0,268.0,427.0,14.0,0.0,6.0,5.0,452.0,1154.0,7.0,21.0,11.0,10.0,1203.0,31.0,5.0,0.0,33.0,0.0,69.0,25303.0,1099.0,742.0,936.0,109.0,28188.0,1164.0,130.0,38.0,152.0,5356.0,6841.0,50225.0,5026.0,2948.0,16155.0,6098.0,80453.0,80453.0
