district,census_variable,value
Prahran,M_Current_ADF_Regular_15_24_pc,0.0
Preston,M_Current_ADF_Regular_15_24_pc,0.0
Richmond,M_Current_ADF_Regular_15_24_pc,0.0
Ringwood,M_Current_ADF_Regular_15_24_pc,0.0
Ripon,M_Current_ADF_Regular_15_24_pc,0.0
Rowville,M_Current_ADF_Regular_15_24_pc,0.0
Sandringham,M_Current_ADF_Regular_15_24_pc,0.0
Shepparton,M_Current_ADF_Regular_15_24_pc,0.0
South Barwon,M_Current_ADF_Regular_15_24_pc,0.0
South-West Coast,M_Current_ADF_Regular_15_24_pc,0.0
St Albans,M_Current_ADF_Regular_15_24_pc,0.0
Sunbury,M_Current_ADF_Regular_15_24_pc,0.0
Sydenham,M_Current_ADF_Regular_15_24_pc,0.0
Tarneit,M_Current_ADF_Regular_15_24_pc,0.0
Thomastown,M_Current_ADF_Regular_15_24_pc,0.0
Warrandyte,M_Current_ADF_Regular_15_24_pc,0.0
Wendouree,M_Current_ADF_Regular_15_24_pc,0.0
Werribee,M_Current_ADF_Regular_15_24_pc,0.0
Williamstown,M_Current_ADF_Regular_15_24_pc,0.0
Yan Yean,M_Current_ADF_Regular_15_24_pc,0.0
Albert Park,M_Current_ADF_Regular_25_34,12.0
Ashwood,M_Current_ADF_Regular_25_34,0.0
Bass,M_Current_ADF_Regular_25_34,5.0
Bayswater,M_Current_ADF_Regular_25_34,0.0
Bellarine,M_Current_ADF_Regular_25_34,0.0
Benambra,M_Current_ADF_Regular_25_34,189.0
Bendigo East,M_Current_ADF_Regular_25_34,0.0
Bendigo West,M_Current_ADF_Regular_25_34,0.0
Bentleigh,M_Current_ADF_Regular_25_34,3.0
Berwick,M_Current_ADF_Regular_25_34,0.0
Box Hill,M_Current_ADF_Regular_25_34,0.0
Brighton,M_Current_ADF_Regular_25_34,0.0
Broadmeadows,M_Current_ADF_Regular_25_34,14.0
Brunswick,M_Current_ADF_Regular_25_34,0.0
Bulleen,M_Current_ADF_Regular_25_34,0.0
Bundoora,M_Current_ADF_Regular_25_34,0.0
Carrum,M_Current_ADF_Regular_25_34,3.0
Caulfield,M_Current_ADF_Regular_25_34,0.0
Clarinda,M_Current_ADF_Regular_25_34,0.0
Cranbourne,M_Current_ADF_Regular_25_34,4.0
Croydon,M_Current_ADF_Regular_25_34,0.0
Dandenong,M_Current_ADF_Regular_25_34,0.0
Eildon,M_Current_ADF_Regular_25_34,0.0
Eltham,M_Current_ADF_Regular_25_34,0.0
Essendon,M_Current_ADF_Regular_25_34,0.0
Eureka,M_Current_ADF_Regular_25_34,0.0
Euroa,M_Current_ADF_Regular_25_34,153.0
Evelyn,M_Current_ADF_Regular_25_34,0.0
Footscray,M_Current_ADF_Regular_25_34,3.0
Frankston,M_Current_ADF_Regular_25_34,0.0
Geelong,M_Current_ADF_Regular_25_34,0.0
Gippsland East,M_Current_ADF_Regular_25_34,3.0
Gippsland South,M_Current_ADF_Regular_25_34,176.0
Glen Waverley,M_Current_ADF_Regular_25_34,0.0
Greenvale,M_Current_ADF_Regular_25_34,0.0
Hastings,M_Current_ADF_Regular_25_34,209.0
Hawthorn,M_Current_ADF_Regular_25_34,0.0
Ivanhoe,M_Current_ADF_Regular_25_34,107.0
Kalkallo,M_Current_ADF_Regular_25_34,4.0
Kew,M_Current_ADF_Regular_25_34,3.0
Kororoit,M_Current_ADF_Regular_25_34,0.0
Lara,M_Current_ADF_Regular_25_34,0.0
Laverton,M_Current_ADF_Regular_25_34,0.0
Lowan,M_Current_ADF_Regular_25_34,0.0
Macedon,M_Current_ADF_Regular_25_34,0.0
Malvern,M_Current_ADF_Regular_25_34,0.0
Melbourne,M_Current_ADF_Regular_25_34,8.0
Melton,M_Current_ADF_Regular_25_34,0.0
Mildura,M_Current_ADF_Regular_25_34,0.0
Mill Park,M_Current_ADF_Regular_25_34,0.0
Monbulk,M_Current_ADF_Regular_25_34,0.0
Mordialloc,M_Current_ADF_Regular_25_34,0.0
Mornington,M_Current_ADF_Regular_25_34,7.0
Morwell,M_Current_ADF_Regular_25_34,0.0
Mulgrave,M_Current_ADF_Regular_25_34,0.0
Murray Plains,M_Current_ADF_Regular_25_34,0.0
Narracan,M_Current_ADF_Regular_25_34,0.0
Narre Warren North,M_Current_ADF_Regular_25_34,0.0
Narre Warren South,M_Current_ADF_Regular_25_34,0.0
Nepean,M_Current_ADF_Regular_25_34,8.0
Niddrie,M_Current_ADF_Regular_25_34,0.0
Northcote,M_Current_ADF_Regular_25_34,0.0
Oakleigh,M_Current_ADF_Regular_25_34,0.0
Ovens Valley,M_Current_ADF_Regular_25_34,0.0
Pakenham,M_Current_ADF_Regular_25_34,0.0
Pascoe Vale,M_Current_ADF_Regular_25_34,0.0
Point Cook,M_Current_ADF_Regular_25_34,7.0
Polwarth,M_Current_ADF_Regular_25_34,0.0
Prahran,M_Current_ADF_Regular_25_34,10.0
Preston,M_Current_ADF_Regular_25_34,0.0
Richmond,M_Current_ADF_Regular_25_34,0.0
Ringwood,M_Current_ADF_Regular_25_34,0.0
Ripon,M_Current_ADF_Regular_25_34,0.0
Rowville,M_Current_ADF_Regular_25_34,5.0
Sandringham,M_Current_ADF_Regular_25_34,0.0
Shepparton,M_Current_ADF_Regular_25_34,0.0
South Barwon,M_Current_ADF_Regular_25_34,0.0
South-West Coast,M_Current_ADF_Regular_25_34,0.0
St Albans,M_Current_ADF_Regular_25_34,0.0
Sunbury,M_Current_ADF_Regular_25_34,0.0
Sydenham,M_Current_ADF_Regular_25_34,0.0
Tarneit,M_Current_ADF_Regular_25_34,3.0
Thomastown,M_Current_ADF_Regular_25_34,0.0
Warrandyte,M_Current_ADF_Regular_25_34,0.0
Wendouree,M_Current_ADF_Regular_25_34,0.0
Werribee,M_Current_ADF_Regular_25_34,0.0
Williamstown,M_Current_ADF_Regular_25_34,3.0
Yan Yean,M_Current_ADF_Regular_25_34,11.0
Albert Park,M_Current_ADF_Regular_25_34_pc,0.0002
Ashwood,M_Current_ADF_Regular_25_34_pc,0.0
Bass,M_Current_ADF_Regular_25_34_pc,0.0001
Bayswater,M_Current_ADF_Regular_25_34_pc,0.0
Bellarine,M_Current_ADF_Regular_25_34_pc,0.0
Benambra,M_Current_ADF_Regular_25_34_pc,0.0035
Bendigo East,M_Current_ADF_Regular_25_34_pc,0.0
Bendigo West,M_Current_ADF_Regular_25_34_pc,0.0
Bentleigh,M_Current_ADF_Regular_25_34_pc,0.0
Berwick,M_Current_ADF_Regular_25_34_pc,0.0
Box Hill,M_Current_ADF_Regular_25_34_pc,0.0
Brighton,M_Current_ADF_Regular_25_34_pc,0.0
Broadmeadows,M_Current_ADF_Regular_25_34_pc,0.0002
Brunswick,M_Current_ADF_Regular_25_34_pc,0.0
Bulleen,M_Current_ADF_Regular_25_34_pc,0.0
Bundoora,M_Current_ADF_Regular_25_34_pc,0.0
Carrum,M_Current_ADF_Regular_25_34_pc,0.0001
Caulfield,M_Current_ADF_Regular_25_34_pc,0.0
Clarinda,M_Current_ADF_Regular_25_34_pc,0.0
Cranbourne,M_Current_ADF_Regular_25_34_pc,0.0001
Croydon,M_Current_ADF_Regular_25_34_pc,0.0
Dandenong,M_Current_ADF_Regular_25_34_pc,0.0
Eildon,M_Current_ADF_Regular_25_34_pc,0.0
Eltham,M_Current_ADF_Regular_25_34_pc,0.0
Essendon,M_Current_ADF_Regular_25_34_pc,0.0
Eureka,M_Current_ADF_Regular_25_34_pc,0.0
Euroa,M_Current_ADF_Regular_25_34_pc,0.0027
Evelyn,M_Current_ADF_Regular_25_34_pc,0.0
Footscray,M_Current_ADF_Regular_25_34_pc,0.0
Frankston,M_Current_ADF_Regular_25_34_pc,0.0
Geelong,M_Current_ADF_Regular_25_34_pc,0.0
Gippsland East,M_Current_ADF_Regular_25_34_pc,0.0001
Gippsland South,M_Current_ADF_Regular_25_34_pc,0.0032
Glen Waverley,M_Current_ADF_Regular_25_34_pc,0.0
Greenvale,M_Current_ADF_Regular_25_34_pc,0.0
Hastings,M_Current_ADF_Regular_25_34_pc,0.0039
Hawthorn,M_Current_ADF_Regular_25_34_pc,0.0
Ivanhoe,M_Current_ADF_Regular_25_34_pc,0.002
Kalkallo,M_Current_ADF_Regular_25_34_pc,0.0001
Kew,M_Current_ADF_Regular_25_34_pc,0.0
Kororoit,M_Current_ADF_Regular_25_34_pc,0.0
Lara,M_Current_ADF_Regular_25_34_pc,0.0
Laverton,M_Current_ADF_Regular_25_34_pc,0.0
Lowan,M_Current_ADF_Regular_25_34_pc,0.0
Macedon,M_Current_ADF_Regular_25_34_pc,0.0
Malvern,M_Current_ADF_Regular_25_34_pc,0.0
Melbourne,M_Current_ADF_Regular_25_34_pc,0.0001
Melton,M_Current_ADF_Regular_25_34_pc,0.0
Mildura,M_Current_ADF_Regular_25_34_pc,0.0
Mill Park,M_Current_ADF_Regular_25_34_pc,0.0
Monbulk,M_Current_ADF_Regular_25_34_pc,0.0
Mordialloc,M_Current_ADF_Regular_25_34_pc,0.0
Mornington,M_Current_ADF_Regular_25_34_pc,0.0001
Morwell,M_Current_ADF_Regular_25_34_pc,0.0
Mulgrave,M_Current_ADF_Regular_25_34_pc,0.0
Murray Plains,M_Current_ADF_Regular_25_34_pc,0.0
Narracan,M_Current_ADF_Regular_25_34_pc,0.0
Narre Warren North,M_Current_ADF_Regular_25_34_pc,0.0
Narre Warren South,M_Current_ADF_Regular_25_34_pc,0.0
Nepean,M_Current_ADF_Regular_25_34_pc,0.0001
Niddrie,M_Current_ADF_Regular_25_34_pc,0.0
Northcote,M_Current_ADF_Regular_25_34_pc,0.0
Oakleigh,M_Current_ADF_Regular_25_34_pc,0.0
Ovens Valley,M_Current_ADF_Regular_25_34_pc,0.0
Pakenham,M_Current_ADF_Regular_25_34_pc,0.0
Pascoe Vale,M_Current_ADF_Regular_25_34_pc,0.0
Point Cook,M_Current_ADF_Regular_25_34_pc,0.0001
Polwarth,M_Current_ADF_Regular_25_34_pc,0.0
Prahran,M_Current_ADF_Regular_25_34_pc,0.0001
Preston,M_Current_ADF_Regular_25_34_pc,0.0
Richmond,M_Current_ADF_Regular_25_34_pc,0.0
Ringwood,M_Current_ADF_Regular_25_34_pc,0.0
Ripon,M_Current_ADF_Regular_25_34_pc,0.0
Rowville,M_Current_ADF_Regular_25_34_pc,0.0001
Sandringham,M_Current_ADF_Regular_25_34_pc,0.0
Shepparton,M_Current_ADF_Regular_25_34_pc,0.0
South Barwon,M_Current_ADF_Regular_25_34_pc,0.0
South-West Coast,M_Current_ADF_Regular_25_34_pc,0.0
St Albans,M_Current_ADF_Regular_25_34_pc,0.0
Sunbury,M_Current_ADF_Regular_25_34_pc,0.0
Sydenham,M_Current_ADF_Regular_25_34_pc,0.0
Tarneit,M_Current_ADF_Regular_25_34_pc,0.0
Thomastown,M_Current_ADF_Regular_25_34_pc,0.0
Warrandyte,M_Current_ADF_Regular_25_34_pc,0.0
Wendouree,M_Current_ADF_Regular_25_34_pc,0.0
Werribee,M_Current_ADF_Regular_25_34_pc,0.0
Williamstown,M_Current_ADF_Regular_25_34_pc,0.0001
Yan Yean,M_Current_ADF_Regular_25_34_pc,0.0002
Albert Park,M_Current_ADF_Regular_35_44,3.0
Ashwood,M_Current_ADF_Regular_35_44,0.0
Bass,M_Current_ADF_Regular_35_44,0.0
Bayswater,M_Current_ADF_Regular_35_44,0.0
Bellarine,M_Current_ADF_Regular_35_44,0.0
Benambra,M_Current_ADF_Regular_35_44,116.0
Bendigo East,M_Current_ADF_Regular_35_44,0.0
Bendigo West,M_Current_ADF_Regular_35_44,0.0
Bentleigh,M_Current_ADF_Regular_35_44,0.0
Berwick,M_Current_ADF_Regular_35_44,0.0
Box Hill,M_Current_ADF_Regular_35_44,0.0
Brighton,M_Current_ADF_Regular_35_44,0.0
Broadmeadows,M_Current_ADF_Regular_35_44,0.0
Brunswick,M_Current_ADF_Regular_35_44,0.0
Bulleen,M_Current_ADF_Regular_35_44,0.0
Bundoora,M_Current_ADF_Regular_35_44,10.0
Carrum,M_Current_ADF_Regular_35_44,0.0
Caulfield,M_Current_ADF_Regular_35_44,0.0
Clarinda,M_Current_ADF_Regular_35_44,0.0
Cranbourne,M_Current_ADF_Regular_35_44,0.0
Croydon,M_Current_ADF_Regular_35_44,0.0
Dandenong,M_Current_ADF_Regular_35_44,0.0
Eildon,M_Current_ADF_Regular_35_44,0.0
Eltham,M_Current_ADF_Regular_35_44,0.0
Essendon,M_Current_ADF_Regular_35_44,9.0
Eureka,M_Current_ADF_Regular_35_44,0.0
Euroa,M_Current_ADF_Regular_35_44,107.0
Evelyn,M_Current_ADF_Regular_35_44,0.0
Footscray,M_Current_ADF_Regular_35_44,3.0
Frankston,M_Current_ADF_Regular_35_44,0.0
Geelong,M_Current_ADF_Regular_35_44,0.0
Gippsland East,M_Current_ADF_Regular_35_44,5.0
Gippsland South,M_Current_ADF_Regular_35_44,87.0
Glen Waverley,M_Current_ADF_Regular_35_44,6.0
Greenvale,M_Current_ADF_Regular_35_44,0.0
Hastings,M_Current_ADF_Regular_35_44,74.0
Hawthorn,M_Current_ADF_Regular_35_44,0.0
Ivanhoe,M_Current_ADF_Regular_35_44,64.0
Kalkallo,M_Current_ADF_Regular_35_44,0.0
Kew,M_Current_ADF_Regular_35_44,4.0
Kororoit,M_Current_ADF_Regular_35_44,0.0
Lara,M_Current_ADF_Regular_35_44,0.0
Laverton,M_Current_ADF_Regular_35_44,12.0
Lowan,M_Current_ADF_Regular_35_44,0.0
Macedon,M_Current_ADF_Regular_35_44,0.0
Malvern,M_Current_ADF_Regular_35_44,0.0
Melbourne,M_Current_ADF_Regular_35_44,0.0
Melton,M_Current_ADF_Regular_35_44,0.0
Mildura,M_Current_ADF_Regular_35_44,0.0
Mill Park,M_Current_ADF_Regular_35_44,6.0
Monbulk,M_Current_ADF_Regular_35_44,0.0
Mordialloc,M_Current_ADF_Regular_35_44,0.0
Mornington,M_Current_ADF_Regular_35_44,4.0
Morwell,M_Current_ADF_Regular_35_44,0.0
Mulgrave,M_Current_ADF_Regular_35_44,0.0
Murray Plains,M_Current_ADF_Regular_35_44,0.0
Narracan,M_Current_ADF_Regular_35_44,0.0
Narre Warren North,M_Current_ADF_Regular_35_44,3.0
Narre Warren South,M_Current_ADF_Regular_35_44,3.0
Nepean,M_Current_ADF_Regular_35_44,0.0
Niddrie,M_Current_ADF_Regular_35_44,0.0
Northcote,M_Current_ADF_Regular_35_44,0.0
Oakleigh,M_Current_ADF_Regular_35_44,0.0
Ovens Valley,M_Current_ADF_Regular_35_44,0.0
Pakenham,M_Current_ADF_Regular_35_44,0.0
Pascoe Vale,M_Current_ADF_Regular_35_44,0.0
Point Cook,M_Current_ADF_Regular_35_44,17.0
Polwarth,M_Current_ADF_Regular_35_44,0.0
Prahran,M_Current_ADF_Regular_35_44,0.0
Preston,M_Current_ADF_Regular_35_44,0.0
Richmond,M_Current_ADF_Regular_35_44,0.0
Ringwood,M_Current_ADF_Regular_35_44,0.0
Ripon,M_Current_ADF_Regular_35_44,0.0
Rowville,M_Current_ADF_Regular_35_44,0.0
Sandringham,M_Current_ADF_Regular_35_44,0.0
Shepparton,M_Current_ADF_Regular_35_44,0.0
South Barwon,M_Current_ADF_Regular_35_44,0.0
South-West Coast,M_Current_ADF_Regular_35_44,0.0
St Albans,M_Current_ADF_Regular_35_44,0.0
Sunbury,M_Current_ADF_Regular_35_44,0.0
Sydenham,M_Current_ADF_Regular_35_44,0.0
Tarneit,M_Current_ADF_Regular_35_44,0.0
Thomastown,M_Current_ADF_Regular_35_44,0.0
Warrandyte,M_Current_ADF_Regular_35_44,0.0
Wendouree,M_Current_ADF_Regular_35_44,0.0
Werribee,M_Current_ADF_Regular_35_44,0.0
Williamstown,M_Current_ADF_Regular_35_44,5.0
Yan Yean,M_Current_ADF_Regular_35_44,6.0
Albert Park,M_Current_ADF_Regular_35_44_pc,0.0
Ashwood,M_Current_ADF_Regular_35_44_pc,0.0
Bass,M_Current_ADF_Regular_35_44_pc,0.0
Bayswater,M_Current_ADF_Regular_35_44_pc,0.0
Bellarine,M_Current_ADF_Regular_35_44_pc,0.0
Benambra,M_Current_ADF_Regular_35_44_pc,0.0021
Bendigo East,M_Current_ADF_Regular_35_44_pc,0.0
Bendigo West,M_Current_ADF_Regular_35_44_pc,0.0
Bentleigh,M_Current_ADF_Regular_35_44_pc,0.0
Berwick,M_Current_ADF_Regular_35_44_pc,0.0
Box Hill,M_Current_ADF_Regular_35_44_pc,0.0
Brighton,M_Current_ADF_Regular_35_44_pc,0.0
Broadmeadows,M_Current_ADF_Regular_35_44_pc,0.0
Brunswick,M_Current_ADF_Regular_35_44_pc,0.0
Bulleen,M_Current_ADF_Regular_35_44_pc,0.0
Bundoora,M_Current_ADF_Regular_35_44_pc,0.0002
Carrum,M_Current_ADF_Regular_35_44_pc,0.0
Caulfield,M_Current_ADF_Regular_35_44_pc,0.0
Clarinda,M_Current_ADF_Regular_35_44_pc,0.0
Cranbourne,M_Current_ADF_Regular_35_44_pc,0.0
Croydon,M_Current_ADF_Regular_35_44_pc,0.0
Dandenong,M_Current_ADF_Regular_35_44_pc,0.0
Eildon,M_Current_ADF_Regular_35_44_pc,0.0
Eltham,M_Current_ADF_Regular_35_44_pc,0.0
Essendon,M_Current_ADF_Regular_35_44_pc,0.0002
Eureka,M_Current_ADF_Regular_35_44_pc,0.0
Euroa,M_Current_ADF_Regular_35_44_pc,0.0019
Evelyn,M_Current_ADF_Regular_35_44_pc,0.0
Footscray,M_Current_ADF_Regular_35_44_pc,0.0
Frankston,M_Current_ADF_Regular_35_44_pc,0.0
Geelong,M_Current_ADF_Regular_35_44_pc,0.0
Gippsland East,M_Current_ADF_Regular_35_44_pc,0.0001
Gippsland South,M_Current_ADF_Regular_35_44_pc,0.0016
Glen Waverley,M_Current_ADF_Regular_35_44_pc,0.0001
Greenvale,M_Current_ADF_Regular_35_44_pc,0.0
Hastings,M_Current_ADF_Regular_35_44_pc,0.0014
Hawthorn,M_Current_ADF_Regular_35_44_pc,0.0
Ivanhoe,M_Current_ADF_Regular_35_44_pc,0.0012
Kalkallo,M_Current_ADF_Regular_35_44_pc,0.0
Kew,M_Current_ADF_Regular_35_44_pc,0.0001
Kororoit,M_Current_ADF_Regular_35_44_pc,0.0
Lara,M_Current_ADF_Regular_35_44_pc,0.0
Laverton,M_Current_ADF_Regular_35_44_pc,0.0002
Lowan,M_Current_ADF_Regular_35_44_pc,0.0
Macedon,M_Current_ADF_Regular_35_44_pc,0.0
Malvern,M_Current_ADF_Regular_35_44_pc,0.0
Melbourne,M_Current_ADF_Regular_35_44_pc,0.0
Melton,M_Current_ADF_Regular_35_44_pc,0.0
Mildura,M_Current_ADF_Regular_35_44_pc,0.0
Mill Park,M_Current_ADF_Regular_35_44_pc,0.0001
Monbulk,M_Current_ADF_Regular_35_44_pc,0.0
Mordialloc,M_Current_ADF_Regular_35_44_pc,0.0
Mornington,M_Current_ADF_Regular_35_44_pc,0.0001
