district,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot,P_Tot_Tot_total
Albert Park,0.0,0.0,0.0,0.0,1171.0,1171.0,13.0,0.0,0.0,0.0,2369.0,2397.0,1451.0,57.0,48.0,0.0,7268.0,8941.0,2636.0,155.0,389.0,0.0,3199.0,6477.0,2238.0,226.0,664.0,4.0,1740.0,4892.0,1949.0,149.0,742.0,20.0,1043.0,4135.0,1479.0,92.0,458.0,44.0,510.0,2784.0,859.0,20.0,181.0,71.0,134.0,1424.0,163.0,0.0,12.0,71.0,26.0,355.0,10992.0,894.0,2709.0,390.0,17581.0,32577.0,0.0,0.0,0.0,0.0,1207.0,1204.0,50.0,0.0,0.0,0.0,2473.0,2536.0,1801.0,53.0,189.0,0.0,7030.0,9236.0,2668.0,141.0,569.0,7.0,2867.0,6345.0,2337.0,206.0,807.0,15.0,1608.0,5082.0,1893.0,137.0,903.0,115.0,958.0,4082.0,1359.0,71.0,653.0,303.0,347.0,2911.0,598.0,5.0,246.0,475.0,97.0,1539.0,47.0,7.0,34.0,301.0,13.0,496.0,10907.0,859.0,3697.0,1406.0,16749.0,33590.0,0.0,0.0,0.0,0.0,2336.0,2346.0,91.0,0.0,0.0,0.0,4891.0,5024.0,3291.0,158.0,296.0,0.0,14317.0,18122.0,5380.0,379.0,996.0,13.0,6049.0,12879.0,4508.0,466.0,1539.0,35.0,3387.0,10005.0,3866.0,360.0,1711.0,169.0,2047.0,8170.0,2868.0,196.0,1174.0,398.0,889.0,5702.0,1530.0,41.0,460.0,562.0,258.0,3058.0,299.0,10.0,55.0,405.0,36.0,943.0,21915.0,1795.0,6409.0,1771.0,34334.0,66246.0,66246.0
Ashwood,0.0,0.0,0.0,0.0,2597.0,2603.0,4.0,0.0,0.0,0.0,3189.0,3207.0,1551.0,3.0,22.0,0.0,3984.0,5521.0,3775.0,36.0,144.0,0.0,1107.0,5219.0,3945.0,123.0,306.0,4.0,720.0,5301.0,3346.0,72.0,359.0,25.0,506.0,4517.0,2436.0,41.0,275.0,31.0,269.0,3218.0,1567.0,13.0,83.0,161.0,50.0,2049.0,616.0,0.0,13.0,247.0,7.0,957.0,17301.0,560.0,1495.0,670.0,12565.0,32602.0,0.0,0.0,0.0,0.0,2454.0,2463.0,11.0,0.0,0.0,0.0,2788.0,2820.0,1904.0,17.0,44.0,0.0,2881.0,4935.0,4246.0,94.0,246.0,3.0,902.0,5640.0,4301.0,182.0,590.0,16.0,696.0,5820.0,3286.0,101.0,756.0,120.0,463.0,4899.0,2270.0,32.0,507.0,403.0,216.0,3578.0,1298.0,16.0,259.0,971.0,55.0,2624.0,280.0,0.0,32.0,935.0,34.0,1378.0,17688.0,701.0,2607.0,2586.0,10604.0,34128.0,0.0,0.0,0.0,0.0,5091.0,5083.0,48.0,0.0,0.0,0.0,5928.0,6012.0,3407.0,27.0,105.0,0.0,6805.0,10505.0,8133.0,207.0,467.0,3.0,2010.0,10890.0,8183.0,345.0,908.0,28.0,1453.0,11140.0,6642.0,257.0,1139.0,204.0,992.0,9372.0,4723.0,128.0,832.0,482.0,501.0,6764.0,2861.0,69.0,397.0,1179.0,147.0,4731.0,920.0,0.0,71.0,1226.0,42.0,2343.0,34934.0,1332.0,4115.0,3192.0,23117.0,66765.0,66765.0
Bass,0.0,0.0,0.0,0.0,1619.0,1619.0,12.0,0.0,0.0,0.0,1406.0,1447.0,1168.0,15.0,32.0,0.0,2476.0,3761.0,2223.0,77.0,200.0,0.0,1216.0,3771.0,2179.0,133.0,472.0,14.0,884.0,3860.0,2750.0,147.0,726.0,50.0,702.0,4460.0,3084.0,202.0,710.0,181.0,283.0,4595.0,1558.0,30.0,202.0,260.0,53.0,2296.0,260.0,0.0,29.0,200.0,0.0,603.0,13417.0,887.0,2534.0,854.0,8716.0,26499.0,0.0,0.0,0.0,0.0,1612.0,1612.0,34.0,0.0,0.0,0.0,1377.0,1472.0,1601.0,48.0,55.0,0.0,2330.0,4075.0,2314.0,139.0,234.0,4.0,1087.0,3917.0,2242.0,167.0,623.0,22.0,842.0,4031.0,3010.0,209.0,941.0,145.0,515.0,4953.0,2815.0,148.0,826.0,533.0,189.0,4655.0,1146.0,23.0,268.0,734.0,31.0,2291.0,110.0,0.0,33.0,601.0,3.0,837.0,13372.0,982.0,3160.0,2198.0,8106.0,27816.0,0.0,0.0,0.0,0.0,3309.0,3309.0,56.0,0.0,0.0,0.0,2806.0,2904.0,2761.0,107.0,103.0,7.0,4800.0,7886.0,4572.0,282.0,530.0,12.0,2283.0,7696.0,4423.0,383.0,1111.0,38.0,1815.0,7836.0,5759.0,452.0,1664.0,262.0,1251.0,9480.0,6008.0,403.0,1566.0,718.0,526.0,9202.0,2719.0,75.0,533.0,1013.0,122.0,4575.0,468.0,6.0,56.0,871.0,3.0,1457.0,26752.0,1909.0,5739.0,3053.0,16866.0,54366.0,54366.0
Bayswater,0.0,5.0,0.0,0.0,1980.0,1984.0,9.0,0.0,0.0,0.0,2074.0,2104.0,1449.0,10.0,16.0,0.0,3545.0,5145.0,3422.0,113.0,218.0,0.0,1527.0,5399.0,2745.0,188.0,383.0,11.0,1070.0,4530.0,2453.0,134.0,613.0,36.0,530.0,3943.0,2489.0,116.0,367.0,94.0,133.0,3391.0,1383.0,7.0,153.0,203.0,30.0,2001.0,295.0,3.0,18.0,195.0,7.0,642.0,14411.0,800.0,2085.0,733.0,10970.0,29027.0,0.0,0.0,0.0,0.0,1760.0,1775.0,41.0,0.0,0.0,0.0,1973.0,2041.0,2010.0,40.0,50.0,0.0,3017.0,5246.0,3583.0,181.0,297.0,3.0,1336.0,5609.0,2684.0,271.0,698.0,12.0,884.0,4637.0,2506.0,226.0,966.0,154.0,433.0,4390.0,2373.0,91.0,827.0,604.0,109.0,4102.0,1049.0,11.0,278.0,818.0,33.0,2243.0,118.0,0.0,37.0,710.0,13.0,1031.0,14405.0,1043.0,3360.0,2512.0,9772.0,31082.0,0.0,5.0,0.0,0.0,3682.0,3681.0,68.0,0.0,0.0,0.0,3980.0,4102.0,3491.0,96.0,90.0,0.0,6586.0,10404.0,7039.0,352.0,612.0,3.0,2954.0,10958.0,5408.0,472.0,1118.0,22.0,2034.0,9230.0,5014.0,414.0,1623.0,222.0,1008.0,8312.0,4866.0,240.0,1240.0,730.0,325.0,7517.0,2423.0,27.0,509.0,1028.0,97.0,4297.0,512.0,7.0,76.0,986.0,25.0,1694.0,28816.0,1881.0,5446.0,3174.0,20790.0,60172.0,60172.0
Bellarine,0.0,0.0,0.0,0.0,1820.0,1821.0,4.0,0.0,0.0,0.0,1414.0,1450.0,824.0,13.0,7.0,0.0,2088.0,3038.0,2350.0,95.0,166.0,0.0,1108.0,3703.0,2577.0,121.0,400.0,9.0,769.0,4004.0,3114.0,148.0,602.0,41.0,460.0,4456.0,4030.0,114.0,588.0,121.0,234.0,5230.0,2076.0,27.0,183.0,289.0,21.0,2751.0,430.0,0.0,27.0,209.0,3.0,729.0,15382.0,827.0,2204.0,893.0,8036.0,27328.0,0.0,0.0,0.0,0.0,1730.0,1725.0,3.0,0.0,0.0,0.0,1362.0,1399.0,1133.0,29.0,13.0,0.0,1950.0,3239.0,2526.0,136.0,260.0,7.0,1086.0,4227.0,2702.0,231.0,658.0,32.0,819.0,4590.0,3281.0,187.0,1002.0,184.0,547.0,5437.0,3853.0,94.0,831.0,549.0,238.0,5744.0,1620.0,14.0,326.0,888.0,67.0,3005.0,215.0,0.0,16.0,830.0,10.0,1174.0,15513.0,998.0,3392.0,2600.0,7976.0,30445.0,0.0,0.0,0.0,0.0,3460.0,3466.0,20.0,0.0,0.0,0.0,2807.0,2837.0,1982.0,60.0,41.0,0.0,4099.0,6250.0,4832.0,263.0,428.0,12.0,2226.0,7903.0,5323.0,474.0,1133.0,43.0,1608.0,8618.0,6408.0,431.0,1677.0,255.0,1083.0,9942.0,7819.0,318.0,1462.0,686.0,495.0,10964.0,3694.0,81.0,572.0,1216.0,116.0,5750.0,685.0,0.0,86.0,1061.0,16.0,2013.0,30903.0,1855.0,5577.0,3464.0,16043.0,57773.0,57773.0
Benambra,0.0,0.0,0.0,0.0,2144.0,2145.0,6.0,0.0,0.0,0.0,1680.0,1743.0,1130.0,38.0,26.0,0.0,2575.0,3832.0,2106.0,103.0,219.0,0.0,1219.0,3784.0,2294.0,149.0,502.0,3.0,954.0,4060.0,2696.0,126.0,763.0,25.0,603.0,4280.0,2653.0,110.0,580.0,138.0,239.0,3972.0,1377.0,9.0,191.0,177.0,90.0,1947.0,255.0,5.0,4.0,138.0,7.0,547.0,12631.0,839.0,2521.0,723.0,9632.0,26470.0,0.0,0.0,0.0,0.0,1941.0,1944.0,34.0,0.0,0.0,0.0,1557.0,1648.0,1401.0,43.0,56.0,0.0,2303.0,3916.0,2398.0,194.0,295.0,3.0,1213.0,4222.0,2456.0,220.0,746.0,38.0,772.0,4338.0,2791.0,207.0,858.0,167.0,478.0,4661.0,2462.0,109.0,640.0,480.0,142.0,4014.0,983.0,3.0,198.0,733.0,33.0,2099.0,111.0,0.0,15.0,657.0,21.0,874.0,12678.0,1080.0,3071.0,2321.0,8548.0,27707.0,0.0,0.0,0.0,0.0,4047.0,4052.0,74.0,0.0,0.0,0.0,3264.0,3392.0,2533.0,134.0,128.0,0.0,4927.0,7781.0,4576.0,347.0,614.0,9.0,2384.0,8013.0,4784.0,438.0,1351.0,58.0,1748.0,8474.0,5431.0,417.0,1657.0,232.0,1099.0,8939.0,5099.0,285.0,1303.0,696.0,474.0,8029.0,2345.0,46.0,458.0,984.0,154.0,4115.0,439.0,3.0,38.0,842.0,20.0,1460.0,25327.0,1903.0,5647.0,3044.0,18222.0,54133.0,54133.0
Bendigo East,0.0,0.0,0.0,0.0,2212.0,2208.0,10.0,0.0,0.0,0.0,2107.0,2176.0,1254.0,38.0,9.0,0.0,3031.0,4385.0,2493.0,114.0,150.0,0.0,1246.0,4130.0,2464.0,167.0,458.0,0.0,870.0,4125.0,2653.0,186.0,636.0,39.0,531.0,4184.0,2597.0,114.0,445.0,77.0,234.0,3736.0,1349.0,21.0,120.0,218.0,49.0,1903.0,325.0,0.0,12.0,198.0,8.0,617.0,13204.0,865.0,2102.0,752.0,10525.0,27524.0,0.0,0.0,0.0,0.0,2111.0,2116.0,28.0,0.0,0.0,0.0,2176.0,2237.0,1611.0,75.0,33.0,0.0,2966.0,4790.0,2632.0,225.0,332.0,7.0,1356.0,4649.0,2523.0,246.0,748.0,42.0,855.0,4550.0,2766.0,218.0,987.0,195.0,441.0,4698.0,2343.0,115.0,709.0,504.0,203.0,3967.0,1033.0,21.0,209.0,728.0,26.0,2126.0,165.0,6.0,15.0,691.0,6.0,1005.0,13248.0,1084.0,3238.0,2341.0,10291.0,30258.0,0.0,0.0,0.0,0.0,4384.0,4387.0,82.0,3.0,0.0,0.0,4326.0,4434.0,2890.0,143.0,97.0,3.0,5957.0,9179.0,5143.0,384.0,575.0,6.0,2581.0,8738.0,4974.0,490.0,1248.0,49.0,1812.0,8657.0,5417.0,430.0,1591.0,290.0,1059.0,8897.0,4946.0,230.0,1235.0,654.0,473.0,7760.0,2453.0,70.0,404.0,995.0,118.0,4080.0,567.0,10.0,41.0,950.0,18.0,1678.0,26397.0,2028.0,5364.0,3156.0,20811.0,57785.0,57785.0
Bendigo West,0.0,0.0,0.0,0.0,1666.0,1666.0,9.0,4.0,0.0,0.0,1633.0,1684.0,924.0,41.0,24.0,0.0,2735.0,3841.0,1861.0,110.0,143.0,0.0,1430.0,3777.0,2036.0,190.0,435.0,9.0,1162.0,3817.0,2209.0,200.0,719.0,30.0,771.0,3956.0,2358.0,157.0,671.0,143.0,430.0,3904.0,1391.0,23.0,238.0,187.0,79.0,2142.0,364.0,0.0,17.0,222.0,33.0,747.0,11207.0,1022.0,2399.0,745.0,10055.0,25444.0,0.0,0.0,0.0,0.0,1653.0,1660.0,27.0,6.0,0.0,0.0,1552.0,1604.0,1137.0,57.0,38.0,0.0,2543.0,3909.0,1992.0,175.0,216.0,0.0,1389.0,3857.0,1990.0,207.0,645.0,28.0,1135.0,4087.0,2327.0,256.0,1018.0,164.0,686.0,4506.0,2230.0,137.0,868.0,488.0,316.0,4191.0,1123.0,20.0,364.0,727.0,97.0,2421.0,168.0,0.0,54.0,761.0,40.0,1160.0,11066.0,1099.0,3362.0,2475.0,9452.0,27400.0,0.0,0.0,0.0,0.0,3338.0,3340.0,89.0,10.0,0.0,0.0,3135.0,3241.0,2169.0,147.0,83.0,0.0,5291.0,7696.0,3838.0,366.0,453.0,6.0,2884.0,7577.0,3956.0,468.0,1037.0,60.0,2233.0,7924.0,4498.0,464.0,1700.0,249.0,1475.0,8503.0,4563.0,360.0,1644.0,680.0,767.0,8047.0,2540.0,75.0,674.0,1016.0,229.0,4600.0,587.0,1.0,90.0,1037.0,78.0,1891.0,22254.0,2096.0,5774.0,3254.0,19496.0,52908.0,52908.0
Bentleigh,0.0,0.0,0.0,0.0,2527.0,2546.0,3.0,0.0,0.0,0.0,2102.0,2118.0,1194.0,3.0,7.0,0.0,3178.0,4419.0,3840.0,85.0,166.0,0.0,1255.0,5469.0,3961.0,184.0,385.0,18.0,914.0,5604.0,2866.0,105.0,477.0,13.0,637.0,4177.0,2000.0,49.0,321.0,47.0,233.0,2833.0,1165.0,13.0,92.0,163.0,24.0,1645.0,451.0,0.0,5.0,217.0,4.0,812.0,15505.0,684.0,1753.0,616.0,10964.0,29619.0,0.0,0.0,0.0,0.0,2302.0,2303.0,8.0,0.0,0.0,0.0,1935.0,1967.0,1659.0,17.0,40.0,0.0,2666.0,4383.0,4286.0,137.0,343.0,3.0,1240.0,6143.0,4075.0,280.0,741.0,18.0,947.0,6092.0,2675.0,186.0,760.0,113.0,532.0,4400.0,1845.0,68.0,609.0,448.0,255.0,3261.0,979.0,8.0,259.0,843.0,90.0,2274.0,232.0,3.0,53.0,1085.0,23.0,1564.0,15755.0,993.0,2972.0,2592.0,10098.0,32424.0,0.0,0.0,0.0,0.0,4836.0,4854.0,29.0,0.0,5.0,0.0,4017.0,4082.0,2832.0,41.0,81.0,0.0,5717.0,8774.0,8113.0,284.0,578.0,3.0,2397.0,11502.0,7970.0,528.0,1193.0,39.0,1853.0,11664.0,5463.0,359.0,1293.0,184.0,1202.0,8616.0,3886.0,137.0,948.0,516.0,590.0,6187.0,2147.0,41.0,418.0,998.0,149.0,3900.0,739.0,4.0,83.0,1382.0,34.0,2336.0,31255.0,1665.0,4802.0,3288.0,21017.0,61952.0,61952.0
Berwick,0.0,0.0,0.0,0.0,2902.0,2907.0,16.0,0.0,0.0,0.0,2553.0,2577.0,2044.0,27.0,27.0,3.0,2823.0,5023.0,5396.0,88.0,187.0,0.0,882.0,6616.0,4193.0,121.0,435.0,5.0,422.0,5397.0,2878.0,65.0,355.0,13.0,179.0,3711.0,1783.0,32.0,172.0,34.0,32.0,2242.0,958.0,7.0,55.0,57.0,14.0,1219.0,220.0,0.0,7.0,92.0,0.0,365.0,17732.0,608.0,1444.0,401.0,9961.0,30181.0,0.0,0.0,0.0,0.0,2592.0,2596.0,67.0,0.0,0.0,0.0,2196.0,2310.0,3022.0,56.0,52.0,0.0,2388.0,5609.0,5465.0,169.0,365.0,4.0,811.0,7018.0,4032.0,220.0,616.0,11.0,445.0,5450.0,2586.0,122.0,610.0,124.0,178.0,3783.0,1680.0,41.0,362.0,365.0,47.0,2693.0,706.0,13.0,137.0,530.0,30.0,1583.0,73.0,0.0,11.0,353.0,11.0,530.0,17773.0,934.0,2411.0,1735.0,8837.0,31769.0,0.0,0.0,0.0,0.0,5485.0,5497.0,113.0,0.0,0.0,0.0,4780.0,4962.0,5131.0,127.0,117.0,3.0,5207.0,10729.0,10822.0,371.0,612.0,7.0,1725.0,13605.0,8299.0,442.0,1067.0,23.0,929.0,10849.0,5480.0,233.0,987.0,216.0,370.0,7493.0,3525.0,114.0,589.0,443.0,118.0,4955.0,1680.0,36.0,229.0,687.0,56.0,2897.0,364.0,0.0,27.0,483.0,16.0,925.0,35560.0,1583.0,3841.0,2205.0,18801.0,61954.0,61954.0
Box Hill,0.0,0.0,0.0,0.0,2562.0,2564.0,47.0,0.0,0.0,0.0,3670.0,3736.0,1857.0,21.0,47.0,0.0,4646.0,6671.0,3737.0,86.0,240.0,0.0,1271.0,5495.0,3856.0,141.0,313.0,11.0,872.0,5220.0,3129.0,92.0,481.0,17.0,533.0,4452.0,2377.0,56.0,299.0,60.0,264.0,3273.0,1426.0,6.0,106.0,144.0,42.0,2017.0,533.0,9.0,16.0,244.0,23.0,975.0,17001.0,689.0,1774.0,705.0,14135.0,34316.0,0.0,0.0,0.0,0.0,2633.0,2636.0,56.0,4.0,4.0,0.0,3367.0,3474.0,2248.0,72.0,133.0,0.0,3983.0,6552.0,3999.0,131.0,385.0,0.0,1104.0,5842.0,3992.0,228.0,653.0,28.0,839.0,5887.0,3075.0,215.0,837.0,151.0,553.0,4895.0,2272.0,29.0,652.0,411.0,345.0,3888.0,1176.0,21.0,273.0,910.0,107.0,2658.0,254.0,0.0,60.0,1130.0,82.0,1645.0,17341.0,923.0,3286.0,2813.0,13252.0,37672.0,0.0,0.0,0.0,0.0,5210.0,5203.0,129.0,4.0,4.0,0.0,7038.0,7238.0,4110.0,93.0,226.0,5.0,8668.0,13220.0,7754.0,290.0,662.0,0.0,2421.0,11280.0,7837.0,417.0,1027.0,48.0,1694.0,11211.0,6185.0,349.0,1382.0,221.0,1231.0,9403.0,4635.0,123.0,976.0,593.0,722.0,7180.0,2696.0,29.0,488.0,1190.0,200.0,4624.0,854.0,14.0,95.0,1475.0,108.0,2679.0,34357.0,1672.0,5051.0,3603.0,27346.0,72029.0,72029.0
Brighton,0.0,0.0,0.0,0.0,2164.0,2166.0,5.0,0.0,0.0,0.0,1714.0,1722.0,536.0,14.0,10.0,0.0,2763.0,3392.0,2270.0,67.0,163.0,0.0,1375.0,3947.0,3243.0,147.0,467.0,8.0,896.0,4823.0,2942.0,76.0,497.0,12.0,588.0,4210.0,2125.0,59.0,427.0,48.0,266.0,3091.0,1274.0,13.0,129.0,120.0,66.0,1812.0,326.0,0.0,13.0,181.0,25.0,706.0,12867.0,584.0,1865.0,540.0,10040.0,25864.0,0.0,0.0,0.0,0.0,1953.0,1953.0,0.0,0.0,0.0,0.0,1603.0,1594.0,792.0,30.0,16.0,0.0,2923.0,3849.0,2694.0,78.0,273.0,3.0,1458.0,4638.0,3510.0,216.0,693.0,21.0,1025.0,5564.0,2838.0,129.0,788.0,107.0,655.0,4628.0,1994.0,65.0,701.0,368.0,275.0,3508.0,1013.0,15.0,306.0,713.0,84.0,2281.0,169.0,4.0,48.0,892.0,50.0,1295.0,13072.0,788.0,2962.0,2298.0,10265.0,29402.0,0.0,0.0,0.0,0.0,4053.0,4050.0,0.0,0.0,0.0,0.0,3410.0,3437.0,1328.0,45.0,33.0,0.0,5711.0,7252.0,4935.0,208.0,464.0,3.0,2885.0,8557.0,6801.0,429.0,1109.0,41.0,1968.0,10434.0,5730.0,288.0,1305.0,176.0,1280.0,8797.0,4179.0,171.0,1166.0,414.0,566.0,6584.0,2289.0,28.0,482.0,919.0,186.0,4096.0,571.0,6.0,95.0,1077.0,92.0,1987.0,25881.0,1366.0,4791.0,2842.0,20284.0,55277.0,55277.0
Broadmeadows,3.0,0.0,0.0,0.0,2137.0,2142.0,128.0,0.0,0.0,0.0,2965.0,3145.0,2896.0,92.0,89.0,0.0,4785.0,7982.0,3952.0,144.0,270.0,0.0,1760.0,6173.0,2550.0,186.0,507.0,6.0,1112.0,4351.0,2111.0,179.0,616.0,44.0,722.0,3753.0,1558.0,70.0,307.0,44.0,242.0,2414.0,1165.0,8.0,88.0,162.0,46.0,1717.0,486.0,6.0,3.0,259.0,8.0,868.0,14884.0,1025.0,2096.0,776.0,14026.0,32819.0,0.0,0.0,0.0,0.0,1909.0,1930.0,393.0,16.0,10.0,0.0,2166.0,2677.0,3656.0,99.0,129.0,0.0,3013.0,7061.0,3541.0,256.0,379.0,22.0,1333.0,5619.0,2353.0,222.0,661.0,27.0,839.0,4275.0,1927.0,200.0,628.0,234.0,607.0,3836.0,1361.0,62.0,417.0,625.0,125.0,2844.0,954.0,3.0,161.0,1136.0,33.0,2395.0,211.0,9.0,36.0,1016.0,4.0,1349.0,14511.0,1229.0,2736.0,3275.0,10253.0,32056.0,3.0,0.0,0.0,0.0,4114.0,4138.0,621.0,14.0,10.0,0.0,5210.0,5887.0,6623.0,225.0,309.0,0.0,7809.0,15033.0,7498.0,487.0,718.0,22.0,3077.0,11875.0,4839.0,520.0,1180.0,42.0,1930.0,8643.0,3996.0,476.0,1374.0,311.0,1393.0,7590.0,2928.0,182.0,832.0,734.0,420.0,5245.0,2142.0,45.0,283.0,1320.0,126.0,4148.0,799.0,11.0,54.0,1345.0,23.0,2318.0,29464.0,2278.0,4851.0,3998.0,24234.0,64868.0,64868.0
Brunswick,0.0,0.0,0.0,0.0,1009.0,1009.0,0.0,0.0,0.0,0.0,2470.0,2495.0,893.0,23.0,28.0,0.0,7884.0,8939.0,2099.0,78.0,184.0,0.0,3258.0,5724.0,1791.0,75.0,339.0,6.0,1529.0,3870.0,1411.0,72.0,364.0,3.0,842.0,2820.0,1060.0,52.0,292.0,21.0,348.0,1926.0,744.0,5.0,58.0,119.0,113.0,1189.0,207.0,0.0,3.0,70.0,34.0,462.0,8344.0,505.0,1593.0,361.0,17648.0,28548.0,0.0,0.0,0.0,0.0,1070.0,1075.0,19.0,0.0,0.0,0.0,3237.0,3274.0,1246.0,50.0,39.0,0.0,8587.0,9995.0,2164.0,100.0,318.0,0.0,3280.0,5879.0,1814.0,98.0,432.0,4.0,1469.0,3964.0,1352.0,103.0,572.0,106.0,898.0,3127.0,1059.0,26.0,480.0,250.0,453.0,2420.0,593.0,4.0,228.0,542.0,126.0,1594.0,61.0,3.0,29.0,524.0,10.0,724.0,8323.0,638.0,2429.0,1571.0,19236.0,32122.0,0.0,0.0,0.0,0.0,2093.0,2097.0,45.0,0.0,0.0,0.0,5724.0,5813.0,2178.0,83.0,101.0,0.0,16430.0,18922.0,4283.0,253.0,569.0,0.0,6440.0,11631.0,3584.0,240.0,809.0,10.0,3022.0,7796.0,2782.0,198.0,1012.0,134.0,1779.0,5969.0,2146.0,123.0,880.0,303.0,880.0,4413.0,1337.0,10.0,338.0,662.0,282.0,2810.0,326.0,3.0,47.0,680.0,52.0,1229.0,16673.0,1225.0,3930.0,1964.0,36850.0,60652.0,60652.0
