district,M_0_149_CFNC_pc,M_0_149_CF_C_und15_pc,M_0_149_CFNC_und15_pc,M_0_149_1PF_C_und15_pc,M_0_149_1PFNC_und15_pc,M_0_149_OthF_pc,M_0_149_Tot_pc,M_150_299_CFNC_pc,M_150_299_CF_C_und15_pc,M_150_299_CFNC_und15_pc,M_150_299_1PF_C_und15_pc,M_150_299_1PFNC_und15_pc,M_150_299_OthF_pc,M_150_299_Tot_pc,M_300_449_CFNC_pc,M_300_449_CF_C_und15_pc,M_300_449_CFNC_und15_pc,M_300_449_1PF_C_und15_pc,M_300_449_1PFNC_und15_pc,M_300_449_OthF_pc,M_300_449_Tot_pc,M_450_599_CFNC_pc,M_450_599_CF_C_und15_pc,M_450_599_CFNC_und15_pc,M_450_599_1PF_C_und15_pc,M_450_599_1PFNC_und15_pc,M_450_599_OthF_pc,M_450_599_Tot_pc,M_600_799_CFNC_pc,M_600_799_CF_C_und15_pc,M_600_799_CFNC_und15_pc,M_600_799_1PF_C_und15_pc,M_600_799_1PFNC_und15_pc,M_600_799_OthF_pc,M_600_799_Tot_pc,M_800_999_CFNC_pc,M_800_999_CF_C_und15_pc,M_800_999_CFNC_und15_pc,M_800_999_1PF_C_und15_pc,M_800_999_1PFNC_und15_pc,M_800_999_OthF_pc,M_800_999_Tot_pc,M_1000_1199_CFNC_pc,M_1000_1199_CF_C_und15_pc,M_1000_1199_CFNC_und15_pc,M_1000_1199_1PF_C_und15_pc,M_1000_1199_1PFNC_und15_pc,M_1000_1199_OthF_pc,M_1000_1199_Tot_pc,M_1200_1399_CFNC_pc,M_1200_1399_CF_C_und15_pc,M_1200_1399_CFNC_und15_pc,M_1200_1399_1PF_C_und15_pc,M_1200_1399_1PFNC_und15_pc,M_1200_1399_OthF_pc,M_1200_1399_Tot_pc,M_1400_1599_CFNC_pc,M_1400_1599_CF_C_und15_pc,M_1400_1599_CFNC_und15_pc,M_1400_1599_1PF_C_und15_pc,M_1400_1599_1PFNC_und15_pc,M_1400_1599_OthF_pc,M_1400_1599_Tot_pc,M_1600_1799_CFNC_pc,M_1600_1799_CF_C_und15_pc,M_1600_1799_CFNC_und15_pc,M_1600_1799_1PF_C_und15_pc,M_1600_1799_1PFNC_und15_pc,M_1600_1799_OthF_pc,M_1600_1799_Tot_pc,M_1800_1999_CFNC_pc,M_1800_1999_CF_C_und15_pc,M_1800_1999_CFNC_und15_pc,M_1800_1999_1PF_C_und15_pc,M_1800_1999_1PFNC_und15_pc,M_1800_1999_OthF_pc,M_1800_1999_Tot_pc,M_2000_2199_CFNC_pc,M_2000_2199_CF_C_und15_pc,M_2000_2199_CFNC_und15_pc,M_2000_2199_1PF_C_und15_pc,M_2000_2199_1PFNC_und15_pc,M_2000_2199_OthF_pc,M_2000_2199_Tot_pc,M_2200_2399_CFNC_pc,M_2200_2399_CF_C_und15_pc,M_2200_2399_CFNC_und15_pc,M_2200_2399_1PF_C_und15_pc,M_2200_2399_1PFNC_und15_pc,M_2200_2399_OthF_pc,M_2200_2399_Tot_pc,M_2400_2599_CFNC_pc,M_2400_2599_CF_C_und15_pc,M_2400_2599_CFNC_und15_pc,M_2400_2599_1PF_C_und15_pc,M_2400_2599_1PFNC_und15_pc,M_2400_2599_OthF_pc,M_2400_2599_Tot_pc,M_2600_2999_CFNC_pc,M_2600_2999_CF_C_und15_pc,M_2600_2999_CFNC_und15_pc,M_2600_2999_1PF_C_und15_pc,M_2600_2999_1PFNC_und15_pc,M_2600_2999_OthF_pc,M_2600_2999_Tot_pc,M_3000_3999_CFNC_pc,M_3000_3999_CF_C_und15_pc,M_3000_3999_CFNC_und15_pc,M_3000_3999_1PF_C_und15_pc,M_3000_3999_1PFNC_und15_pc,M_3000_3999_OthF_pc,M_3000_3999_Tot_pc,M_4000_4999_CFNC_pc,M_4000_4999_CF_C_und15_pc,M_4000_4999_CFNC_und15_pc,M_4000_4999_1PF_C_und15_pc,M_4000_4999_1PFNC_und15_pc,M_4000_4999_OthF_pc,M_4000_4999_Tot_pc,M_5000over_CFNC_pc,M_5000over_CF_C_und15_pc,M_5000over_CFNC_und15_pc,M_5000over_1PF_C_und15_pc,M_5000over_1PFNC_und15_pc,M_5000over_OthF_pc,M_5000over_Tot_pc,M_NS_CFNC_pc,M_NS_CF_C_und15_pc,M_NS_CFNC_und15_pc,M_NS_1PF_C_und15_pc,M_NS_1PFNC_und15_pc,M_NS_OthF_pc,M_NS_Tot_pc,Tot_CFNC_pc,Tot_CF_C_und15_pc,Tot_CFNC_und15_pc,Tot_1PF_C_und15_pc,Tot_1PFNC_und15_pc,Tot_OthF_pc,Tot_Tot_pc
Albert Park,0.0055,0.0043,0.0006,0.0,0.0,0.0,0.0289,0.0008,0.0,0.0,0.0,0.0,0.0,0.0014,0.0008,0.0,0.0008,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0006,0.0,0.0,0.0,0.0,0.0,0.0043,0.0039,0.001,0.001,0.0,0.0,0.0,0.0113,0.0039,0.0008,0.001,0.0,0.0006,0.0,0.0147,0.008,0.0006,0.0,0.0014,0.0008,0.0,0.0192,0.0174,0.0045,0.0006,0.0006,0.0,0.0,0.0393,0.0235,0.0027,0.0022,0.0014,0.0,0.0,0.0399,0.0215,0.0023,0.0,0.0,0.0,0.0,0.0326,0.0338,0.0154,0.0018,0.0012,0.0,0.0,0.0813,0.0129,0.0035,0.0,0.0,0.0,0.0,0.0313,0.0113,0.0059,0.0,0.0006,0.0,0.0,0.0354,0.016,0.0084,0.0006,0.001,0.0,0.0,0.0459,0.05,0.0387,0.0065,0.0027,0.002,0.0006,0.1335,0.0303,0.0358,0.0039,0.001,0.0,0.0,0.0807,0.0422,0.0884,0.0162,0.0006,0.0012,0.0006,0.1785,0.0164,0.0125,0.0016,0.0,0.0008,0.0,0.0582,0.4482,0.3421,0.0975,0.0461,0.0452,0.0037,1.0
Ashwood,0.0104,0.0109,0.0088,0.0,0.0018,0.0,0.0528,0.0,0.0006,0.0,0.0,0.0,0.0,0.0026,0.0011,0.0004,0.0008,0.0,0.0,0.0,0.0067,0.0,0.0,0.0006,0.0,0.0,0.0,0.0041,0.0011,0.0,0.0,0.0006,0.0006,0.0,0.0055,0.0011,0.0013,0.0012,0.0,0.0005,0.0,0.0097,0.0013,0.0033,0.0065,0.0,0.0008,0.0,0.0249,0.0005,0.0026,0.0016,0.0005,0.0004,0.0,0.0215,0.0016,0.0029,0.0032,0.0,0.0006,0.0,0.0263,0.002,0.0053,0.0019,0.0,0.001,0.0,0.0259,0.0026,0.006,0.0004,0.0,0.0011,0.0,0.0207,0.0102,0.0278,0.0096,0.0,0.001,0.0,0.074,0.0032,0.0068,0.0017,0.0,0.0,0.0,0.021,0.0045,0.013,0.0018,0.0006,0.0,0.0,0.0345,0.0103,0.0243,0.0029,0.0007,0.0,0.0,0.0665,0.0306,0.0982,0.0223,0.0008,0.0031,0.0,0.186,0.0139,0.0636,0.0117,0.0017,0.0014,0.0,0.1138,0.0151,0.0927,0.0191,0.0022,0.0005,0.0,0.1525,0.0074,0.0237,0.0102,0.0011,0.0008,0.0,0.0654,0.2068,0.4925,0.2019,0.0371,0.047,0.0023,1.0
Bass,0.0055,0.0014,0.0014,0.0,0.0004,0.0,0.0175,0.002,0.0005,0.0006,0.0004,0.0,0.0,0.0067,0.0021,0.0026,0.0,0.0,0.0,0.0,0.0079,0.0012,0.0,0.0,0.0,0.0007,0.0,0.0107,0.0072,0.0045,0.0025,0.0,0.0005,0.0,0.0264,0.0068,0.011,0.0022,0.0004,0.0024,0.0,0.0357,0.0165,0.0156,0.0033,0.0027,0.0004,0.0,0.0596,0.021,0.0283,0.0077,0.0041,0.0015,0.0,0.0774,0.0186,0.0298,0.0058,0.0017,0.0004,0.0,0.0757,0.021,0.0447,0.0068,0.005,0.0005,0.0,0.096,0.0186,0.0393,0.0014,0.0014,0.0,0.0006,0.077,0.0298,0.0543,0.0078,0.0007,0.0015,0.0,0.1191,0.0175,0.0261,0.002,0.0004,0.0006,0.0,0.0581,0.0073,0.0155,0.0022,0.0,0.0,0.0,0.0392,0.0133,0.0287,0.0022,0.001,0.0001,0.0,0.0654,0.0195,0.0298,0.0038,0.0004,0.0005,0.0,0.0666,0.0038,0.0053,0.0,0.0,0.0,0.0,0.0133,0.0021,0.0047,0.0004,0.0,0.0,0.0,0.0114,0.0185,0.0138,0.0076,0.0,0.0009,0.0,0.0629,0.3143,0.4288,0.1346,0.0521,0.0475,0.0022,1.0
Bayswater,0.0038,0.0024,0.0055,0.0,0.0,0.0,0.0268,0.0017,0.0004,0.0011,0.0,0.0,0.0,0.0055,0.0009,0.0009,0.001,0.0,0.0003,0.0,0.0083,0.0,0.001,0.0007,0.0,0.0,0.0,0.0066,0.0021,0.0003,0.0022,0.0,0.0,0.0,0.0135,0.0022,0.0054,0.0027,0.001,0.002,0.0,0.0276,0.0067,0.0126,0.0092,0.0,0.0003,0.0,0.0472,0.0081,0.0154,0.0089,0.0007,0.0026,0.0,0.06,0.0113,0.0266,0.0067,0.0018,0.0026,0.0,0.0691,0.0124,0.03,0.0072,0.0009,0.004,0.0,0.0745,0.0106,0.0265,0.0045,0.0003,0.0012,0.0,0.0644,0.0237,0.0581,0.011,0.0013,0.0008,0.0,0.112,0.0152,0.0382,0.0031,0.0003,0.0,0.0,0.0716,0.0124,0.033,0.0017,0.0,0.001,0.0,0.0605,0.0211,0.052,0.0053,0.001,0.0004,0.0,0.0967,0.0188,0.0586,0.0073,0.0,0.0,0.0,0.1064,0.0028,0.0077,0.002,0.0,0.0,0.0,0.0215,0.002,0.0043,0.0004,0.0,0.0,0.0,0.0137,0.0097,0.0151,0.0038,0.0,0.0021,0.0,0.046,0.259,0.4533,0.1652,0.0386,0.0661,0.0025,1.0
Bellarine,0.0084,0.0019,0.0004,0.0,0.0004,0.0,0.0205,0.001,0.0,0.0004,0.0,0.0,0.0,0.0038,0.003,0.0,0.0024,0.0,0.0,0.0,0.0146,0.0006,0.0015,0.0,0.0005,0.0008,0.0,0.0063,0.0076,0.0025,0.0019,0.0,0.0006,0.0,0.0278,0.0055,0.003,0.005,0.0011,0.0024,0.0,0.0338,0.0142,0.0054,0.0053,0.0005,0.0025,0.0,0.0522,0.0154,0.0278,0.0074,0.0026,0.0021,0.0,0.076,0.018,0.0254,0.005,0.0033,0.0019,0.0,0.0708,0.0237,0.0451,0.0063,0.0033,0.0039,0.0,0.1002,0.014,0.0479,0.0033,0.0004,0.0,0.0,0.0782,0.0325,0.0527,0.0139,0.001,0.0005,0.0005,0.1148,0.0076,0.0204,0.0016,0.0,0.0,0.0,0.0397,0.0044,0.0127,0.001,0.0,0.0,0.0,0.0291,0.0157,0.0343,0.0067,0.0011,0.0009,0.0,0.0655,0.0184,0.0398,0.0098,0.0005,0.0005,0.0,0.0825,0.0031,0.0142,0.0019,0.0,0.0,0.0,0.0277,0.0029,0.0082,0.0016,0.0,0.0,0.0,0.0174,0.0111,0.0164,0.0033,0.0005,0.001,0.0,0.0499,0.2943,0.4434,0.1529,0.0447,0.0569,0.0031,1.0
Benambra,0.0063,0.002,0.0013,0.0,0.0,0.0,0.0217,0.0027,0.0,0.0004,0.0,0.0,0.0,0.0038,0.0033,0.0019,0.0009,0.0,0.0,0.0,0.0176,0.004,0.0005,0.0,0.0,0.0,0.0,0.0106,0.007,0.0075,0.0017,0.0,0.0,0.0,0.036,0.0212,0.0185,0.0047,0.0031,0.0005,0.0,0.0711,0.0212,0.024,0.007,0.0025,0.0031,0.0,0.0863,0.028,0.0482,0.0071,0.0039,0.0021,0.0004,0.1167,0.0279,0.0486,0.0072,0.0035,0.0009,0.0005,0.1105,0.0248,0.0501,0.009,0.0031,0.0015,0.0,0.1103,0.0118,0.0271,0.0056,0.0009,0.0,0.0,0.0545,0.0192,0.0368,0.0098,0.0,0.0004,0.0,0.0899,0.0017,0.0119,0.0004,0.0,0.0,0.0,0.0249,0.0027,0.002,0.0,0.0,0.0,0.0,0.011,0.0058,0.0139,0.0025,0.0007,0.0,0.0,0.0362,0.0058,0.0206,0.0039,0.0007,0.0004,0.0,0.0427,0.0009,0.0039,0.0004,0.0,0.0,0.0,0.0107,0.0,0.0016,0.0005,0.0,0.0,0.0,0.005,0.0096,0.0117,0.0025,0.0013,0.0015,0.0,0.0488,0.3104,0.4228,0.1401,0.0656,0.0454,0.0038,1.0
Bendigo East,0.0046,0.0017,0.0014,0.0,0.0004,0.0,0.0212,0.0009,0.0,0.0009,0.0,0.0,0.0,0.0038,0.0045,0.0012,0.0,0.0,0.0006,0.0,0.0166,0.0012,0.0007,0.0004,0.0,0.0,0.0,0.0138,0.01,0.0056,0.0019,0.0006,0.0015,0.0,0.0342,0.0113,0.0116,0.0057,0.0024,0.002,0.0,0.0565,0.0212,0.0291,0.0064,0.0044,0.0013,0.0,0.0826,0.0299,0.0486,0.0091,0.0033,0.0027,0.0,0.1206,0.0337,0.0547,0.0103,0.0074,0.0019,0.0,0.1211,0.0261,0.0521,0.0061,0.0013,0.0014,0.0006,0.1115,0.0085,0.0337,0.005,0.0014,0.0,0.0,0.0656,0.0146,0.0434,0.0068,0.0017,0.0,0.0,0.0867,0.0045,0.0125,0.0004,0.0,0.0,0.0,0.0285,0.0011,0.0046,0.0007,0.0,0.0,0.0,0.0134,0.0026,0.0178,0.0047,0.0,0.0006,0.0,0.037,0.0042,0.0164,0.004,0.0,0.0,0.0,0.0382,0.0023,0.0031,0.0,0.0,0.0,0.0,0.0106,0.0013,0.004,0.0,0.0,0.0,0.0,0.008,0.0096,0.0093,0.0043,0.0009,0.0006,0.0,0.0445,0.2788,0.4447,0.1398,0.0607,0.0508,0.0026,1.0
Bendigo West,0.0059,0.0041,0.0025,0.0,0.0004,0.0,0.0214,0.0021,0.0,0.0004,0.0,0.0,0.0,0.0072,0.0044,0.0,0.0004,0.0,0.0012,0.0,0.0178,0.0009,0.0004,0.0013,0.0006,0.0004,0.0,0.0165,0.0091,0.0034,0.0041,0.0018,0.0004,0.0,0.0398,0.013,0.0193,0.0088,0.0027,0.0019,0.0,0.0691,0.022,0.0267,0.0084,0.0055,0.0032,0.0,0.1045,0.0301,0.052,0.0088,0.008,0.0047,0.0,0.1252,0.0264,0.047,0.0056,0.0032,0.0013,0.0,0.1051,0.0264,0.0523,0.0066,0.0034,0.0022,0.0,0.1108,0.0097,0.0298,0.0038,0.0,0.0,0.0,0.0594,0.0136,0.034,0.0077,0.0004,0.0004,0.0,0.0751,0.0022,0.0108,0.0,0.0,0.0,0.0,0.0208,0.0009,0.0074,0.0,0.0,0.0,0.0,0.0111,0.0099,0.0161,0.0032,0.0,0.0,0.0,0.0407,0.0049,0.013,0.0021,0.0,0.0,0.0,0.0337,0.0013,0.0027,0.0022,0.0,0.0,0.0,0.0088,0.0006,0.0013,0.0004,0.0,0.0,0.0,0.0035,0.0111,0.0109,0.0025,0.0007,0.0004,0.0,0.0499,0.2963,0.4089,0.1432,0.0706,0.0591,0.0035,1.0
Bentleigh,0.0046,0.0066,0.0038,0.0,0.0007,0.0,0.0371,0.0,0.0,0.0009,0.0,0.0,0.0,0.0009,0.001,0.0008,0.0009,0.0,0.0005,0.0,0.0072,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0043,0.0012,0.0007,0.0011,0.0,0.0,0.0,0.0095,0.002,0.0017,0.0007,0.0,0.0,0.0,0.014,0.0019,0.0031,0.0037,0.0,0.0016,0.0,0.0266,0.0031,0.0059,0.0046,0.0,0.0004,0.0,0.029,0.0039,0.0072,0.0038,0.0,0.0008,0.0,0.0364,0.0031,0.0119,0.0014,0.0007,0.0007,0.0,0.0325,0.0057,0.012,0.0016,0.0003,0.0004,0.0,0.0314,0.0117,0.0352,0.0093,0.0011,0.0019,0.0,0.0783,0.0071,0.0136,0.0012,0.0015,0.0,0.0,0.0344,0.0047,0.0215,0.0033,0.0,0.0,0.0,0.0446,0.011,0.0387,0.0054,0.0017,0.0003,0.0,0.0787,0.0351,0.1215,0.0178,0.003,0.001,0.0,0.201,0.015,0.0663,0.0065,0.0012,0.0003,0.0,0.113,0.0085,0.0539,0.0061,0.0008,0.0008,0.0,0.079,0.0073,0.0222,0.0084,0.0004,0.0007,0.0,0.0567,0.2183,0.5029,0.1761,0.0444,0.0538,0.0022,1.0
Berwick,0.0029,0.0055,0.0039,0.0,0.0,0.0,0.0256,0.0008,0.0,0.0005,0.0,0.0,0.0,0.0033,0.0014,0.0016,0.0004,0.0,0.0,0.0,0.0054,0.0009,0.001,0.0015,0.0,0.0002,0.0,0.0074,0.0008,0.0008,0.0014,0.0,0.0,0.0,0.0098,0.0031,0.0042,0.0021,0.0005,0.0002,0.0,0.0162,0.0028,0.0063,0.005,0.0002,0.0005,0.0,0.0251,0.006,0.0137,0.0043,0.0003,0.0003,0.0,0.0373,0.0043,0.0215,0.0062,0.0002,0.0011,0.0,0.0507,0.0095,0.0352,0.0104,0.0008,0.0006,0.0,0.0739,0.0114,0.0413,0.0056,0.0014,0.0,0.0,0.0759,0.0226,0.0773,0.018,0.0016,0.0002,0.0,0.1357,0.013,0.0536,0.0058,0.0002,0.0002,0.0,0.085,0.0109,0.0481,0.0047,0.0005,0.0,0.0,0.0697,0.0134,0.0656,0.0122,0.0,0.0,0.0,0.1035,0.015,0.0756,0.0152,0.0005,0.0004,0.0,0.118,0.0045,0.0163,0.0043,0.0,0.0007,0.0,0.0305,0.0024,0.0132,0.0034,0.0,0.0003,0.0,0.0285,0.0079,0.0246,0.0093,0.0003,0.0005,0.0,0.0565,0.1921,0.5512,0.178,0.0295,0.0321,0.002,1.0
Box Hill,0.0034,0.0073,0.0082,0.0012,0.0007,0.0,0.0457,0.0006,0.0004,0.0,0.0,0.0,0.0,0.0023,0.0,0.0009,0.0007,0.0,0.0,0.0,0.0051,0.0017,0.0004,0.0004,0.0,0.0,0.0,0.0056,0.001,0.0012,0.0012,0.0,0.0016,0.0,0.0095,0.0015,0.001,0.0016,0.0004,0.0004,0.0,0.017,0.0031,0.0054,0.0055,0.0,0.0004,0.0,0.0294,0.0026,0.0049,0.0026,0.0,0.0005,0.0,0.0276,0.0062,0.0081,0.0015,0.0005,0.0007,0.0,0.0369,0.0048,0.0067,0.0023,0.0004,0.0,0.0,0.0331,0.0048,0.0053,0.0022,0.0,0.0005,0.0,0.0237,0.0114,0.0287,0.0125,0.0017,0.001,0.0,0.0849,0.0031,0.0099,0.0,0.0006,0.0,0.0,0.0234,0.0072,0.0166,0.0046,0.0,0.0,0.0,0.0417,0.0139,0.0261,0.0046,0.0006,0.0004,0.0,0.0717,0.0319,0.0969,0.025,0.0028,0.0017,0.0,0.1837,0.0093,0.0608,0.0083,0.0009,0.0005,0.0,0.103,0.011,0.0508,0.0091,0.0011,0.0,0.0,0.0893,0.0059,0.0192,0.0054,0.0,0.0026,0.0,0.0593,0.2204,0.4659,0.1961,0.0445,0.0615,0.0012,1.0
Brighton,0.0093,0.0125,0.0062,0.0,0.0005,0.0,0.0462,0.0,0.0,0.0,0.0,0.0005,0.0,0.002,0.0005,0.0014,0.0008,0.0,0.0,0.0,0.0071,0.0006,0.0,0.0005,0.0,0.0,0.0,0.004,0.0017,0.0009,0.0,0.0,0.0,0.0,0.0041,0.0009,0.0024,0.0005,0.0,0.0008,0.0,0.0128,0.004,0.0026,0.0,0.0,0.0005,0.0,0.0157,0.0027,0.0012,0.0015,0.0,0.0006,0.0,0.0161,0.0023,0.0027,0.0,0.0,0.0,0.0,0.0166,0.0049,0.002,0.0014,0.0005,0.0,0.0005,0.0154,0.0036,0.0012,0.0002,0.0005,0.0,0.0,0.0192,0.01,0.0147,0.0065,0.0,0.0,0.0,0.0558,0.0021,0.004,0.0006,0.0,0.0005,0.0,0.0202,0.0058,0.0085,0.0024,0.0,0.0,0.0,0.0295,0.0094,0.0112,0.002,0.0012,0.0,0.0005,0.0447,0.0231,0.0716,0.0237,0.0017,0.0012,0.0,0.1426,0.0137,0.0593,0.0158,0.0024,0.0,0.0,0.1161,0.0345,0.1488,0.0427,0.0021,0.0044,0.0,0.2592,0.012,0.0284,0.0068,0.0005,0.0011,0.0,0.0754,0.24,0.453,0.1952,0.0455,0.0499,0.0018,1.0
Broadmeadows,0.0036,0.0114,0.0025,0.0,0.0006,0.0,0.0337,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0015,0.0021,0.0004,0.0,0.0,0.0008,0.0,0.0135,0.0004,0.0006,0.0,0.0,0.0,0.0,0.0073,0.0014,0.002,0.0029,0.0,0.0004,0.0,0.0234,0.0034,0.0053,0.001,0.0,0.0015,0.0,0.0264,0.0063,0.015,0.0035,0.0004,0.0036,0.0,0.0568,0.0098,0.0223,0.0049,0.0035,0.0029,0.0,0.0721,0.0102,0.0278,0.0035,0.0006,0.0007,0.0004,0.0744,0.0152,0.033,0.0027,0.0035,0.0015,0.0,0.0836,0.0175,0.0283,0.0027,0.0022,0.0,0.0,0.0681,0.0282,0.046,0.0077,0.0021,0.0017,0.0,0.117,0.0102,0.0223,0.0004,0.0,0.0004,0.0,0.045,0.0072,0.0159,0.0015,0.0,0.0,0.0,0.0389,0.0149,0.0302,0.0029,0.0004,0.0,0.0,0.0595,0.0136,0.0404,0.0052,0.0,0.0,0.0,0.0784,0.0014,0.0058,0.0,0.0,0.0,0.0,0.0202,0.0006,0.0072,0.0006,0.0,0.0,0.0,0.0136,0.0079,0.0177,0.0059,0.0004,0.0031,0.0,0.069,0.2628,0.4332,0.1464,0.0511,0.0848,0.0084,1.0
Brunswick,0.0087,0.0069,0.0013,0.0,0.0,0.0,0.0371,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0017,0.0006,0.0,0.0,0.0,0.0,0.0044,0.0,0.0012,0.0006,0.0,0.0,0.0,0.0048,0.0006,0.0008,0.0,0.0,0.0008,0.0,0.0044,0.0027,0.0015,0.0015,0.0,0.0006,0.0,0.0163,0.0073,0.0019,0.0008,0.0,0.0,0.0,0.0219,0.0104,0.0037,0.0006,0.0,0.0,0.0,0.0273,0.0119,0.0031,0.0008,0.0,0.0,0.0,0.0296,0.0098,0.0023,0.0008,0.001,0.001,0.0,0.0327,0.0137,0.0079,0.0,0.0,0.0,0.0,0.0335,0.0248,0.0273,0.0033,0.0,0.0,0.0,0.0871,0.0085,0.0102,0.0008,0.0015,0.0,0.0,0.0371,0.0123,0.0108,0.0008,0.0,0.0,0.0,0.0325,0.016,0.0319,0.0023,0.0008,0.0008,0.0,0.065,0.0606,0.0813,0.0058,0.0017,0.0,0.0,0.1813,0.0221,0.0412,0.0077,0.0,0.0006,0.0,0.0983,0.0163,0.0517,0.0046,0.0,0.0,0.0,0.0956,0.0087,0.0112,0.0015,0.0,0.0006,0.0,0.0408,0.3658,0.4352,0.101,0.0367,0.0302,0.0025,1.0
Bulleen,0.0102,0.0054,0.0091,0.0007,0.0009,0.0,0.0541,0.0007,0.0,0.0012,0.0,0.0,0.0,0.0048,0.0004,0.0004,0.0009,0.0,0.0,0.0,0.0062,0.0028,0.0009,0.0005,0.0,0.0,0.0,0.0058,0.0005,0.0007,0.0016,0.0,0.0013,0.0,0.0081,0.0008,0.0011,0.003,0.0,0.0,0.0,0.0133,0.0026,0.0073,0.0025,0.0,0.0008,0.0,0.0265,0.0061,0.0036,0.002,0.0,0.0008,0.0,0.0252,0.0054,0.0063,0.0062,0.0,0.0,0.0,0.0306,0.0071,0.0054,0.0026,0.0,0.0,0.0,0.0289,0.0044,0.0067,0.0029,0.0,0.0004,0.0,0.0265,0.0153,0.0337,0.0106,0.0008,0.0021,0.0,0.0869,0.0025,0.0057,0.0045,0.0,0.0,0.0,0.0195,0.0046,0.0132,0.0013,0.0,0.0012,0.0,0.0376,0.0087,0.0227,0.0042,0.0,0.0,0.0,0.0617,0.0407,0.0955,0.0202,0.0036,0.0024,0.0,0.1865,0.0123,0.0564,0.0102,0.0011,0.0013,0.0,0.1039,0.0162,0.0493,0.0115,0.0013,0.0,0.0,0.107,0.0081,0.0202,0.0111,0.0,0.0012,0.0,0.0691,0.2504,0.4196,0.2147,0.042,0.0551,0.002,1.0
Bundoora,0.0062,0.0086,0.0039,0.0,0.0025,0.0,0.037,0.0011,0.0005,0.0004,0.0,0.0,0.0,0.0064,0.0009,0.0004,0.0005,0.0,0.0,0.0,0.0077,0.0005,0.001,0.0015,0.0,0.0,0.0,0.0093,0.0018,0.0004,0.0011,0.0,0.0011,0.0,0.0165,0.0024,0.003,0.003,0.0,0.0004,0.0,0.0206,0.003,0.0087,0.0039,0.0,0.0004,0.0,0.0399,0.0033,0.0159,0.0025,0.0004,0.0004,0.0,0.0409,0.0083,0.016,0.0088,0.0021,0.0013,0.0,0.0598,0.0112,0.024,0.0038,0.0,0.001,0.0,0.0666,0.0056,0.0194,0.0044,0.0005,0.0,0.0,0.0438,0.018,0.0457,0.0083,0.001,0.0013,0.0,0.1073,0.0081,0.03,0.0019,0.001,0.0004,0.0,0.0596,0.0082,0.0269,0.0005,0.0018,0.0008,0.0,0.0568,0.0225,0.0519,0.0052,0.0011,0.0,0.0,0.0939,0.0303,0.0675,0.0131,0.0011,0.0005,0.0,0.1315,0.0045,0.0129,0.0061,0.0004,0.0,0.0,0.0351,0.0026,0.0106,0.003,0.0,0.0009,0.0,0.0237,0.0059,0.0158,0.0126,0.0006,0.001,0.0,0.0596,0.2408,0.4588,0.1807,0.0449,0.0519,0.0011,1.0
Carrum,0.0027,0.0035,0.0011,0.0,0.0006,0.0,0.0212,0.0003,0.0,0.0,0.0,0.0,0.0,0.0018,0.0008,0.0,0.0005,0.0,0.0003,0.0,0.0079,0.0003,0.0005,0.0005,0.0,0.0014,0.0,0.0063,0.0022,0.0018,0.0022,0.0,0.0014,0.0,0.0216,0.0055,0.0043,0.0015,0.0003,0.0011,0.0,0.0303,0.0081,0.0162,0.0058,0.0011,0.0005,0.0,0.0459,0.0105,0.0189,0.0076,0.0022,0.0035,0.0,0.0637,0.0103,0.0272,0.0054,0.0019,0.0014,0.0,0.0639,0.0185,0.0345,0.0086,0.0019,0.0014,0.0,0.0846,0.0173,0.0354,0.0028,0.0009,0.001,0.0,0.0733,0.0332,0.0604,0.0126,0.0022,0.0026,0.0,0.1319,0.0142,0.03,0.0025,0.0005,0.0,0.0,0.0634,0.0106,0.0276,0.002,0.0003,0.0003,0.0,0.0526,0.0184,0.0448,0.0061,0.0006,0.0004,0.0,0.0868,0.0224,0.0483,0.0124,0.0004,0.0007,0.0,0.0968,0.0058,0.0136,0.0009,0.0,0.0003,0.0,0.027,0.0032,0.0056,0.0032,0.0,0.0004,0.0,0.0222,0.0119,0.0213,0.0071,0.0,0.0034,0.0,0.0604,0.2656,0.458,0.1486,0.0568,0.0609,0.0033,1.0
